naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
The Taste of DeeJayTime,program club radio hits danec reggeaton pop hous rdeč nit serija tast aktualen hit lestvica najgibliv airplay hor feliza radio salomona vmes brskati bel album power miks več četrt stoletje sinonim svež plesen hit mainstrea trend blagoven znamka bogat žurerski tradicija živ klubski večer občasen dvoranski zabava masovka prost vsakodneven oddaja radio salomona cirkus gostovati specialka tast deejay tima plesati plesen danec futura hous hous radijski pop reggaeton hit streči dean mik dje dragon teast dean mik dje dragon klub cirkus trg mladinski deloven brigada ljubljana cena vstopnica tickets prices navaden regular eura vip eura infa vip miza izgubljen predmet lost founda infa,2020-01-31 23:00:00,517,237302949627686,3,0.028175321002731554
MC Stojan PURE Night Club,december nadaljevati zvezda balkan let kroj balkanski scena prihajati edin mca stojen coby rast reljati popović anastasija ražnatović senida nikolija sajsi mca vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiški ljubljana slovenio informacija infa pureljubljanac,2019-12-20 22:00:00,1052,445713185468708,3,0.029634819117082635
Oktoberfest / Modrijani & Poskočni muzikanti / Mr. Andy DJ,tradicionalen oktoberfesti pišek oktoberfesti festival potek leto popularen prireditev nemčija milijon obiskovalec leto velik festival svet hkrati predstavljati pomemben del bavarski kultura kdaj začetek ura kje pišek bar lopata celj dogodek potekati šotor vstopnina karta razprodan predprodaja predprodaja dan dogodek prodajen mesto pišek bar vip rezervacija miza eura cena vključevati boati izbira vip vstopnica miza pogled oder barman skrb vip gost izbirati lahek vodek finlandio boati jägermaister boati jacka boati gin hendricks boati vip lahek kupiti pišek bar kjer nakup dobiti poseben karta zagotoviti prednost dober žura informacija barpisek gmailc videti oktoberfesti pišekbar,2019-10-19 21:00:00,3142,493228494509360,3,0.031213077673714184
The Taste of DeeJayTime,program club radio hits danec reggeaton pop hous deejay tima več četrt stoletje sinonim svež plesen muzika popularen srednjetočen glasben trend blagoven znamka bogat žurerski tradicija živ klubski večer občasen dvoranski zabava masovka prost vsakodneven oddaja radio salomona jesen prihajati cirkus specialka tast deejay tima lahek aktualen plesen danec futura hous hous radijski pop reggaeton hit postreči dean mik dje dragon tast klub cirkus trg mladinski deloven brigada ljubljana cena vstopnica tickets prices navaden regular eura vip eura infa vip miza izgubljen predmet lost founda gmailc,2019-10-18 23:00:00,834,237302949627686,3,0.03160060700209747
"Balkan Hits | Klinac I @Top Six Club (Petek, 31.1.)",petek premieren klub top six prihajati klinaca slišati hit praviti sumraksvetel nemati mir korak ispred molitev vip paketa vip miza boati vstopnica možen kupiti vhod klub ura dalja vstopnina,2020-01-31 23:00:00,787,331835760245003,3,0.033369356228736075
Spoznavni žur Ekonomistov ❋ 3.10. ❋ Klub Cirkus,drag ekonomistka ekonomist poletje konec oktober začenjati nov študijski leto upati dodobra spočiti napolniti baterija pripravljen žura ekonomski fakulteta četrtek najbolj znan ljubljanski klub klub cirkus kolega ekonomist prestati leto seminarski nalog cepec risanje islm graf vabiti spoznati oceniti nov bruca letos nadaljevati ponos ekonomski fakulteta drag brucek bruca oktober srednješolski klop zamenjati študentski prevzeti odgovornost zastopanje dober velik fakulteta ljubljana verjeti klop ekonomski fakulteta vesten študent obenem postajati predstavnik fakulteta najbolj odbit nepozaben žura trajati zgodnji jutranji ura star kolega praviti udeležba spoznaven žur ekonomist obvezen plačilo ddv davek poravnati postati pravi efjevec videti cirkus predprodaja vstopnica infa točka vda pisarna šoefšsef cena vstopnica tickets prices navaden karta predprodaja vip vip rezervacija miza rezervacija cirkusklubs infa povezanief gmailc pripraviti ekonomski cena pijača denarnica zdržati cel žurerski oktober klub cirkus trg mladinski deloven brigada lokacija bivši kino vič ljubljana dogodek omogočiti študentski organizacija ekonomski fakulteta študentski svet ekonomski fakulteta povezan spirits legionar fitnes klub heštega kompas young,2019-10-03 22:00:00,969,237302949627686,3,0.034877981455945506
"Velika Oktoberfešta - Luka BASI, DJ Ney, 16+",velik oktoberfešti kdaj petek kje slovenski konjica športen dvorana starosten omejitev dogodek lahek samostojen spremstvo starš skrbnik obiskati mladoleten oseba let dalja mlad let spremstvo starš zakonit skrbnik zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača poceni vstopnica super early bird cena eura predprodaja event prodajen mesto luk basa trenuten najbolj zaželjen najbolj vroč izvajalec luk basa uspešnica vrstiti slišati radijski postaja zabava avtomobil prireditev luk basa zapeti oseben velik oktoberfešta velik oder športen dvorana slovenski konjica zabava enostaven zamuditi dje ney pogost spremljevalec zabava poznan odličen dje tokrat napraviti nor vzdušje dvorana pospremiti neverjeten energija konec dogodek infa rezervacija vip miza infa unicos cena eura vključevati visok miza oder človek brezplačen garderoba boati izbira dober lokacija dvorana pogled oder jacka boati jäger boati gin hendricka boati vodek finlandio boati rezervacija vip miza vključevati ogrevanje met istrijanka ruža sedati noć kad vidina bog uživ vljuden vabiti,2019-10-25 21:00:00,2170,3265783136767031,3,0.0354547857554368
"Halloween Party Šenčur - Jelena ROZGA, DJ Berny White, 16+",halloween party velik zabava jelen rozg kdaj četrtek kje športen dvorana šenčura starosten omejitev vstop oseba star let veljaven oseben dokument dogodek lahek samostojen spremstvo starš skrbnik obiskati mladoleten oseba let dalja mlad let spremstvo starš zakonit skrbnik zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača poceni super early bird vstopnica predprodaja eura event prodajen mesto število vstopnica omejen najprepoznaven najbolj zaželjen izvajalka jutranji ura zabavati hit odličen glas popoln stas začarati poskrbeti nepozaben zabava skupaj prepevati skladba tsuna nirvan okus mentol bizuterija piti pušiti mnog dje berny whit odličen dje vedno zabava občinstvo najprepoznaven hit ogrevati ozračje vrelišče infa rezervacija vip miza infa unicos cena eura vključevati visok miza oder človek brezplačen garderoba boati izbira dober lokacija dvorana pogled oder jacka boati jäger boati gin hendricka boati vodek finlandio boati rezervacija vip miza vključevati lahek zdržati velik halloween party tsuna nirvan okus mentol bizuterija zamuditi halloween party športen dvorana šenčura vljuden vabiti,2019-10-31 21:00:00,1497,10217200653422983,3,0.03584372120200222
The Taste of DeeJay Time,program club radio hits danec reggeaton pop hous odmeven spektakel stožica skupina scooter ekipa vrač klub cirkus izdaja serija tast rdeč nit aktualen hit lestvica gibljiv airplay hor feliza vmes priden brskati bel album power miks več četrt stoletje sinonim svež plesen hit mainstrea trend blagoven znamka bogat žurerski tradicija živ klubski večer občasen dvoranski zabava masovka prost vsakodneven oddaja radio salomona cirkus gostovati specialka tast deejay tima plesati plesen danec futura hous hous radijski pop reggaeton hit streči dean mik dje dragon teast dean mik dje dragon klub cirkus trg mladinski deloven brigada ljubljana cena vstopnica tickets prices navaden regular eura vip eura infa vip miza izgubljen predmet lost founda gmailc,2019-12-06 23:00:00,773,237302949627686,3,0.03604545677351461
"Friday Night Party - Luka BASI, Ines ERBUS, DJ Ney, 16+",friday night party kdaj petek kje brežice športen dvorana starosten omejitev dogodek lahek samostojen spremstvo starš skrbnik obiskati mladoleten oseba let dalja mlad let spremstvo starš zakonit skrbnik zakon varstvo javen red mir člen zakon določati oseba mlad let prepovedan vstop zadrževanje spremstvo starš rejnik skrbnik gostinski obrat prireditev kjer točiti alkoholen pijača poceni vstopnica super early bird cena eura predprodaja event prodajen mesto infa rezervacija vip miza infa unicos cena eura vključevati visok miza oder človek brezplačen garderoba boati izbira dober lokacija dvorana pogled oder jacka boati jäger boati gin hendricka boati vodek finlandio boati rezervacija vip miza vključevati nor zabava predstavljati več trenuten najbolj zaželjen najbolj vroč izvajalec luk basa uspešnica znati pamet luk basa zapeti oseben friday night party velik oder športen dvorana brežice petkov zabava manjkati ogrevati ozračje dvorana zabava poznan odličen dje tokrat napraviti nor vzdušje nastop luk basija ogrevanje met istrijanka ruža sedati noć kad vidina bog uživ vljuden vabiti,2019-11-29 21:00:00,1883,3419389158073094,3,0.03726644600648912
