event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
LA Art Show,{'url': 'http://www.laartshow.com'},"The event features selected fine international and US galleries exhibiting thousands of works, including historical, modern, and contemporary art. Come explore a world of exceptional paintings, drawings, prints, photographs, videos, and sculptures.",2014-01-15T00:00:00,2014-01-15T00:00:00,,Los Angeles Art Show,310-822-9145,$20 General Admission,"Culture & Community, Arts & Antiques"
LA Art Show,{'url': 'http://www.laartshow.com'},"The event features selected fine international and US galleries exhibiting thousands of works, including historical, modern, and contemporary art. Come explore a world of exceptional paintings, drawings, prints, photographs, videos, and sculptures.",2014-01-16T00:00:00,2014-01-16T00:00:00,,Los Angeles Art Show,310-822-9145,$20 General Admission,"Culture & Community, Arts & Antiques"
LA Art Show,{'url': 'http://www.laartshow.com'},"The event features selected fine international and US galleries exhibiting thousands of works, including historical, modern, and contemporary art. Come explore a world of exceptional paintings, drawings, prints, photographs, videos, and sculptures.",2014-01-17T00:00:00,2014-01-17T00:00:00,,Los Angeles Art Show,310-822-9145,$20 General Admission,"Culture & Community, Arts & Antiques"
LA Art Show,{'url': 'http://www.laartshow.com'},"The event features selected fine international and US galleries exhibiting thousands of works, including historical, modern, and contemporary art. Come explore a world of exceptional paintings, drawings, prints, photographs, videos, and sculptures.",2014-01-18T00:00:00,2014-01-18T00:00:00,,Los Angeles Art Show,310-822-9145,$20 General Admission,"Culture & Community, Arts & Antiques"
LA Art Show,{'url': 'http://www.laartshow.com'},"The event features selected fine international and US galleries exhibiting thousands of works, including historical, modern, and contemporary art. Come explore a world of exceptional paintings, drawings, prints, photographs, videos, and sculptures.",2014-01-18T00:00:00,2014-01-18T00:00:00,,Los Angeles Art Show,310-822-9145,$20 General Admission,"Culture & Community, Arts & Antiques"
Photo LA 2014,{'url': 'http://www.photola.com'},"The international Los Angeles photographic art exposition features the finest photographic art from the earliest 19th century photographic experiments to the most contemporary photography and photo-based art. More than 80 premiere galleries and private dealers present international and US artists.

Event times: Friday and Saturday 11:00 a.m. – 7:00 p.m., Sunday 11:00 a.m. – 6:00 p.m.",2014-01-16T00:00:00,2014-01-19T00:00:00,"{'human_address': '{""address"":""1933 Broadway Blvd"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",ArtLA,323-937-5523,"General $20, Students and seniors $15","Culture & Community, Arts & Antiques"
The All American Collector’s Show,{'url': 'http://www.allamericancal.com'},"This is the largest antique toy and advertising show in California, featuring teddy bears, dolls, trains, movie items, signs, and other great collector items.

Event times: Friday 11:00 a.m. – 5:00 p.m., Saturday 10:00 a.m. – 4:00",2014-01-17T00:00:00,2014-01-18T00:00:00,,All American Collectors,310-455-2894,$8 ,Arts & Antiques
World City – Black Violin,{'url': 'http://www.musiccenter.org'},"World City is the Music Center’s highly acclaimed free performance series reflecting the rich array of cultures making up the Los Angeles community. In addition to performances, free arts workshops for children are offered in the adjacent Blue Ribbon Garden. The event features classical and Hip-Hop music from United States.
",2014-01-18T11:00:00,2014-01-18T12:00:00,,The Music Center,213-972-4396,Free,"Culture & Community, Family Friendly"
World City – Black Violin,{'url': 'http://www.musiccenter.org'},"World City is the Music Center’s highly acclaimed free performance series reflecting the rich array of cultures making up the Los Angeles community. In addition to performances, free arts workshops for children are offered in the adjacent Blue Ribbon Garden. The event features classical and Hip-Hop music from United States.
",2014-01-18T12:30:00,2014-01-18T14:00:00,,The Music Center,213-972-4396,Free,"Culture & Community, Family Friendly"
Underwater Parks Day,{'url': 'http://www.cabrillomarineaquarium.org'},"Learn about the newly designated Marine Protected Areas (MPAs) in Southern California. These areas, like parks on land, will help protect underwater marine resources like fish and kelp forests for future generations to enjoy.  Speakers, presentations, interactive activities, and handouts will be available so visitors can learn about these MPAs. ",2014-01-18T11:00:00,2014-01-18T15:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,Free,Family Friendly
16th Annual Los Angeles Times Travel Show,{'url': 'http://www.latimes.com/travelshow'},"The annual Los Angeles Times Travel Show features more than 500 travel-related companies offering the latest information on destinations, hotels, airlines, cruise lines, and other travel services. The 2-day event includes a variety of panels offering money-saving tips and travel advice.",2014-01-18T10:00:00,2014-01-18T17:00:00,,Los Angeles Times,,$10 ,"Family Friendly, Shows & Conventions"
16th Annual Los Angeles Times Travel Show,{'url': 'http://www.latimes.com/travelshow'},"The annual Los Angeles Times Travel Show features more than 500 travel-related companies offering the latest information on destinations, hotels, airlines, cruise lines, and other travel services. The 2-day event includes a variety of panels offering money-saving tips and travel advice.",2014-01-19T10:00:00,2014-01-19T17:00:00,,Los Angeles Times,,$10 ,"Family Friendly, Shows & Conventions"
Festival of Human Abilities,{'url': 'http://www.aquariumofpacific.org'},"Join the Aquarium of the Pacific for its eleventh annual Festival of Human Abilities, a celebration highlighting the creative talents and abilities of people with disabilities. Wheelchair dance, music, signing choirs, art, adaptive SCUBA diving shows, storytelling, service dog demonstrations, and interactive classes by people with disabilities will be featured.",2014-01-25T09:00:00,2014-01-25T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Fairs & Festivals"
Festival of Human Abilities,{'url': 'http://www.aquariumofpacific.org'},"Join the Aquarium of the Pacific for its eleventh annual Festival of Human Abilities, a celebration highlighting the creative talents and abilities of people with disabilities. Wheelchair dance, music, signing choirs, art, adaptive SCUBA diving shows, storytelling, service dog demonstrations, and interactive classes by people with disabilities will be featured.",2014-01-26T09:00:00,2014-01-26T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Fairs & Festivals"
"2014 Chinese New Year Festival 
",{'url': 'http://www.ci.monterey-park.ca.us'},"This year's festival will feature vendors offering unique gifts and specialty items, food booths with various types of delectable items, amusement rides, and lots of live entertainment. The traditional Chinese New Year lion and dragon dancers along with firecrackers will kick-off the festival Saturday morning. Entertainment will be featured on two stages. A large carnival fun zone by Midway Amusements will be featured in parking lots at the corner of Garvey and Lincoln Avenues.",2014-01-25T10:00:00,2014-01-25T18:00:00,,"City of Monterey Park
","626-239-6688,",Free,"Family Friendly, Holiday Celebration, Fairs & Festivals"
"2014 Chinese New Year Festival 
",{'url': 'http://www.ci.monterey-park.ca.us'},"This year's festival will feature vendors offering unique gifts and specialty items, food booths with various types of delectable items, amusement rides, and lots of live entertainment. The traditional Chinese New Year lion and dragon dancers along with firecrackers will kick-off the festival Saturday morning. Entertainment will be featured on two stages. A large carnival fun zone by Midway Amusements will be featured in parking lots at the corner of Garvey and Lincoln Avenues.",2014-01-26T10:00:00,2014-01-26T18:00:00,,"City of Monterey Park
","626-239-6688,",Free,"Family Friendly, Holiday Celebration, Fairs & Festivals"
Dinofaire at Star Eco Station,{'url': 'http://www.ecostation.org'},"Discover your inner paleontologist with real artifacts, fossils and an archeology dig for kids! Live performances by Dinoman and his life size dinosaurs! Reservations required.",2014-01-25T11:00:00,2014-01-25T16:00:00,,"Star Eco Station

",310-842-8060,To be announced,Family Friendly
Dinofaire at Star Eco Station,{'url': 'http://www.ecostation.org'},"Discover your inner paleontologist with real artifacts, fossils and an archeology dig for kids! Live performances by Dinoman and his life size dinosaurs! Reservations required.",2014-01-26T11:00:00,2014-01-26T16:00:00,,"Star Eco Station

",310-842-8060,To be announced,Family Friendly
Whale Fiesta,{'url': 'http://www.cabrillomarineaquarium.org'},"In celebration of marine mammals and the annual several-thousand-mile migration of Pacific Gray Whales, enjoy arts and crafts, puppet shows, face painting, and more. ",2014-01-26T10:00:00,2014-01-26T16:00:00,,City of Los Angeles Department of Recreation and Parks,310-548-7562,Free,"Family Friendly, Fairs & Festivals"
"Bones and Blues
",{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.",2014-01-31T20:00:00,2014-01-31T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening.

",2014-01-11T15:00:00,2014-01-11T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques"
Los Angeles A Cappella Festival 2014,{'url': 'http://www.la-af.com'},"This event is a weekend-long a cappella festival jam-packed with concerts, competitions, master classes, and hands-on workshops led by some of the biggest names in the vocal music universe.  

Event times: Check website for schedule  

",2014-01-31T00:00:00,2014-02-02T00:00:00,,Los Angeles A Cappella Festival,,Check website for prices,"Culture & Community, Family Friendly, Fairs & Festivals"
African American Heritage Celebrations,{'url': 'http://www.laheritagemonth.org'},"African American Heritage Month is a citywide commemoration of African American heritage and history in Los Angeles. The celebration will acknowledge Southern California’s African American contributions in areas of education, religion, the arts, culture, and the humanities. Events include dance and music concerts, and gallery exhibitions.  

Event times: Check websites for details 

g, ",2014-02-01T00:00:00,2014-04-01T00:00:00,,"Los Angeles City Council, Office of the Mayor, Department of Cultural Affairs, Our Authors Study Club",,Varies,"Culture & Community, Fairs & Festivals"
African American History Month Programs,{'url': 'http://www.laheritagemonth.org'},"Our Authors Study Club celebrates the African American History Month with an opening ceremony at City Hall, the Dr. Carter G. Woodson Scholarship and awards luncheon, an oratorical contest, and several church and community events. 

Event times: Call Our Authors Study Club for details 

",2014-02-01T00:00:00,2014-02-28T00:00:00,,"Our Authors Study Club, Inc.","310-854-6967

",Free,"Culture & Community, Fairs & Festivals"
"Undiscovered Chinatown Tour
",{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com. 

www.chinatownla.com",2014-02-01T10:30:00,2014-02-01T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Family Friendly, Tour LA"
115th Annual Golden Dragon Parade,{'url': 'http://www.lagoldendragonparade.com'},"This celebration features a parade with beautifully decorated cultural floats, colorful dance troupes, and the magical lion and dragon dancers. Watch the parade go through Chinatown and then visit the Chinese New Year Festival for an all-day family event! 

www.lagoldendragonparade.com

",2014-02-01T13:00:00,2014-02-01T17:00:00,,Chinese Chamber of Commerce of Los Angeles,213-617-0396,Free,"Family Friendly, Culture & Community, Fairs & Festivals, Holiday Celebration"
Lunar New Year Festival,{'url': 'http://www.lachinesechamber.org'},"The day of the Lunar New Year is the most celebrated holiday of the year for nearly 1.5 million persons of Chinese, Korean, and Vietnamese descent in Southern California. It is celebrated with colorful festivals, parades, and most importantly, large family gatherings. It is also a time when ancestors are fondly remembered and families give thanks for their blessings.

www.lachinesechamber.org

",2014-02-01T10:00:00,2014-02-01T19:00:00,,Los Angeles Chinese Chamber of Commerce,213-617-0396,Free,"Family Friendly, Culture & Community, Fairs & Festivals, Holiday Celebration"
Lunar New Year Festival,{'url': 'http://www.lachinesechamber.org'},"The day of the Lunar New Year is the most celebrated holiday of the year for nearly 1.5 million persons of Chinese, Korean, and Vietnamese descent in Southern California. It is celebrated with colorful festivals, parades, and most importantly, large family gatherings. It is also a time when ancestors are fondly remembered and families give thanks for their blessings.

www.lachinesechamber.org

",2014-02-02T10:00:00,2014-02-02T19:00:00,,Los Angeles Chinese Chamber of Commerce,213-617-0396,Free,"Family Friendly, Culture & Community, Fairs & Festivals, Holiday Celebration"
Fiesta de la Candelaria,{'url': 'http://www.calleolvera.com'},"This final seasonal event commemorates the presentation of the infant Jesus in the temple. Participants may join the procession and bring an elaborately dressed doll to be blessed. Best dressed doll winners will receive a prize.  

www.calleolvera.com",2014-02-02T18:30:00,2014-02-02T20:30:00,,"El Pueblo Historical Monument

",213-485-8372,Free,"Family Friendly, Fairs & Festivals, Holiday Celebration"
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.  

www.1stthursday.com",2014-02-06T17:00:00,,,San Pedro Peninsula Chamber of Commerce,,Free,"Family Friendly, Arts & Antiques, Culture & Community"
22nd Annual Pan African Film & Arts Festival,{'url': 'http://www.PAFF.org'},"America's largest black film festival showcasing over 150 new films from Africa, the United States, Europe, the Caribbean, the South Pacific, South America, and Canada. This event also features 100 black fine artists and craftspeople from the world over, poetry, fashion shows, free forums, and panels.

www.PAFF.org",2014-02-06T10:00:00,2014-02-17T23:59:00,"{'human_address': '{""address"":""3650 W Martin Luther King Jr Blvd"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",Pan African Film & Arts Festival,310-337-4737,Varies by event,"Culture & Community, Fairs & Festivals"
Target Free Family Saturday: Aloha from Hawaii with KoAloha Ukulele,{'url': 'http://www.janm.org'},"Come and make music with KoAloha Ukelele as they lead performances, workshops, and crafts.  Sponsored by Target, these special Saturdays are filled with fun activities giving families unique ways to learn, play, and grow together.

www.janm.org

",2014-02-08T11:00:00,2014-02-08T16:00:00,,"Japanese American National Museum

",213-625-0414,Free,"Family Friendly, Culture & Community"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening.

www.metropomona.com 

",2014-02-08T15:00:00,2014-02-08T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening.

www.metropomona.com 

",2014-02-22T15:00:00,2014-02-08T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques"
Be My Valentine,,"The Grier Musser Museum hosts its annual Valentine Party, featuring antique valentines, teddy bears, kewpie dolls, and other valentine items on display. Guided tours and refreshments are available. Please call for reservations.",2014-02-09T13:00:00,2014-02-09T16:00:00,,Grier Musser Museum,213-413-1814,"$12 Adults including tour and refreshments, $6 Children

","Arts & Antiques, Holiday Celebration, Family Friendly, Culture & Community"
Downtown Art Walk,{'url': 'http://downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.

",2014-02-13T12:00:00,2014-02-13T22:00:00,,Downtown LA Art Walk,,Free,"Arts & Antiques, Culture & Community"
Asians On Film Festival,{'url': 'http://www.asiansonfilm.com'},"Asians On Film Festival is an annual celebration of artistic excellence bringing audiences and the entertainment community together to explore the year in Asian-American cinema through nightly red carpet, mixers, and an extraordinary array of  Asian/Pacific Islander filmmaker voices.

Event times: Check website for details 

",2014-02-14T00:00:00,2014-02-14T00:00:00,"{'longitude': '-118.37252852099971', 'human_address': '{""address"":""5126 30 Lankershim Blvd"",""city"":""North Hollywood"",""state"":""CA"",""zip"":""91601""}', 'latitude': '34.16713081300048', 'needs_recoding': False}",Asians On Film,,$10 ,"Culture & Community, Fairs & Festivals"
Asians On Film Festival,{'url': 'http://www.asiansonfilm.com'},"Asians On Film Festival is an annual celebration of artistic excellence bringing audiences and the entertainment community together to explore the year in Asian-American cinema through nightly red carpet, mixers, and an extraordinary array of  Asian/Pacific Islander filmmaker voices.

Event times: Check website for details 

",2014-02-15T00:00:00,2014-02-15T00:00:00,"{'longitude': '-118.3690785869997', 'human_address': '{""address"":""5126 30 Lankershim Blvd"",""city"":""North Hollywood"",""state"":""CA"",""zip"":""91602""}', 'latitude': '34.15134106200048', 'needs_recoding': False}",Asians On Film,,$10 ,"Culture & Community, Fairs & Festivals"
Asians On Film Festival,{'url': 'http://www.asiansonfilm.com'},"Asians On Film Festival is an annual celebration of artistic excellence bringing audiences and the entertainment community together to explore the year in Asian-American cinema through nightly red carpet, mixers, and an extraordinary array of  Asian/Pacific Islander filmmaker voices.

Event times: Check website for details 

",2014-02-16T00:00:00,2014-02-16T00:00:00,"{'longitude': '-118.37747748199968', 'human_address': '{""address"":""5126 30 Lankershim Blvd"",""city"":""North Hollywood"",""state"":""CA"",""zip"":""91603""}', 'latitude': '34.168060643000445', 'needs_recoding': False}",Asians On Film,,$10 ,"Culture & Community, Fairs & Festivals"
World City – Atlantic Steps,{'url': 'http://www.musiccenter.org'},"World City is the Music Center’s highly acclaimed free performance series reflecting the rich array of cultures making up the Los Angeles community. In addition to performances, free arts workshops for children are offered in the adjacent Blue Ribbon Garden. The event features dance and music from Ireland.

",2014-02-15T11:00:00,2014-02-15T12:30:00,,The Music Center,213-972-4396,Free,"Culture & Community, Family Friendly"
L.A. Zine Fest,{'url': 'http://www.lazinefest.com'},"The LA Zine Fest is a gathering of artists and writers to promote and celebrate zines - small, handmade, self-published magazines containing just about any kind of content (fiction, photography, journalism, poetry, comics, etc.).  

",2014-02-16T11:00:00,2014-02-16T17:00:00,,"The Last Bookstore, L.A. Zine Fest",,Free,"Culture & Community, Arts & Antiques, Fairs & Festivals"
Los Angeles Association of Black Personnel African Marketplace,{'url': 'http://www.laabp.org'},"The African Marketplace and Fashion Show features a wide range of vendors offering items such as clothing, food, designer jewelry, body oils, and framed paintings.  

",2014-02-19T10:00:00,2014-02-20T14:00:00,,Los Angeles Association of Black Personnel,,Free,"Shows & Conventions, Culture & Community"
African American Heritage Celebrations,,"This afternoon celebration includes poetry, storytelling, live gospel, jazz, and blues. African artifacts for sale such as kente cloth, mud cloth, soapstone, handmade masks, and tribal earrings add an authentic flavor to the event. 

",2014-02-21T14:00:00,2014-02-21T16:00:00,"{'human_address': '{""address"":""255 S Hill St"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",Angelus Plaza,213-623-4352 x317,"Free, Donations Accepted","Fairs & Festivals, Family Friendly, Culture & Community"
"Hillcrest Festival of Fine Arts

",{'url': 'http://www.hillcrest-church.org'},"Celebrating 54 years as a community service event showcasing the arts. Enjoy artist demonstrations, exhibits, children's art workshops, an arts and crafts boutique, entertainment, and food. View and shop for ceramics, sculpture, oil and watercolor paintings, jewelry, handmade clothing, mixed media, blown glass, carved wood, pottery, photography, and weaving.     

Event times: Friday and Saturday 10:00 a.m. - 5:00 p.m., Sunday 11:00 a.m. - 5:00 p.m. 

",2014-02-21T00:00:00,2014-02-23T00:00:00,,Hillcrest Congregational Church,562-947-3755,Free,"Fairs & Festivals, Culture & Community, Family Friendly"
70th Annual Temple City Camellia Festival and Carnival,{'url': 'http://hillcrest-church.org'},"Marching bands come from as far away as Lancaster and Victorville to participate and compete in this three-day festival. Other highlights include games, rides, arts and crafts, and food booths. 

Event times: Friday 12:00 noon – 11:00 p.m., Saturday 11:00 a.m. – 11:00 p.m., Sunday 12:00 noon – 8:00 p.m. 

",2014-02-21T00:00:00,2014-02-23T00:00:00,,City of Temple City,626-285-2171,Free,"Fairs & Festivals, Culture & Community, Family Friendly"
Great Los Angeles Air Raid,{'url': 'http://www.ftmac.org'},"Held at a location that was involved in the incident, this event will include eyewitness accounts of what happened on February 25, 1942 and reenactments using authentic military vehicles from the era. Experience a 1940s style swing dance, food and beverage vendors, and more. Come dressed for the occasion.

",2014-02-22T15:00:00,2014-02-22T20:00:00,,"Fort MacArthur Museum, City of Los Angeles Department of Recreation and Parks

",310-548-2631,"$20 Advance Tickets, $30 At the event","Shows & Conventions, Family Friendly"
Garba with Attitude,{'url': 'http://www.garbawithattitude.com'},"The Indian Sub-Continental Club at the University of California, Irvine will host Garba With Attitude, a national Garba/Raas (Indian folk dance) competition, attracting student formed teams, audience members of various ages, and organizations from across the nation. Garba With Attitude has grown to become America's premier Garba/Raas competition and is the only competition of its kind on the West Coast. 

",2014-02-22T17:00:00,2014-02-22T21:00:00,,"Indian Sub-Continental Club at the University of California, Irvine

",626-242-5469,Call for prices,"Shows & Conventions, Culture & Community"
African American Festival,{'url': 'http://www.aquariumofpacific.org'},"Join the Aquarium of the Pacific during its 12th annual African American Festival, celebrating African American and African cultures. The event features hip hop and break dancers, tap dancing, Mardi Gras second line dancers, jazz, interactive drum circles, West African dance, cultural storytelling, ethnic food, arts and crafts, and the Heritage Award ceremony.

",2014-02-22T09:00:00,2014-02-22T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Culture & Community, Fairs & Festivals"
African American Festival,{'url': 'http://www.aquariumofpacific.org'},"Join the Aquarium of the Pacific during its 12th annual African American Festival, celebrating African American and African cultures. The event features hip hop and break dancers, tap dancing, Mardi Gras second line dancers, jazz, interactive drum circles, West African dance, cultural storytelling, ethnic food, arts and crafts, and the Heritage Award ceremony.

",2014-02-23T09:00:00,2014-02-23T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Family Friendly, Culture & Community, Fairs & Festivals"
Complete Whalewatch,{'url': 'http://www.cabrillomarineaquarium.org'},"Join Larry Fukuhara, Cabrillo Marine Aquarium Programs Director, for an informative and fun slide presentation in the John Olguin Auditorium. Following the presentation, head out to sea on a local whalewatching vessel in search of gray whales, other marine mammals, and sea life.  Only two dates, don’t miss the boat!

 ",2014-02-23T08:30:00,2014-02-23T12:00:00,"{'human_address': '{""address"":""3720 Stephen M White Dr"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",City of Los Angeles Department of Recreation and Parks,310-548-7562,$20 ,"Great Outdoors, Family Friendly"
Bones and Blues,{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.

",2014-02-28T20:00:00,2014-02-28T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
Mardi Gras,{'url': 'http://www.calleolvera.com'},"A celebration of “Fat Tuesday” Olvera Street style with a children’s carnival. The event includes Brazilian singing and dancing, a festive parade, and mask making workshops.

",2014-03-01T09:00:00,2014-03-01T14:00:00,,"El Pueblo Historical Monument

",213-485-8372,Free,"Holiday Celebration, Family Friendly, Culture & Community, Fairs & Festivals"
"Undiscovered Chinatown Tour
",{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com.   

",2014-03-01T10:30:00,2014-03-01T13:00:00,,"Chinatown Business Improvement District

",213-680-0243,$20 ,Tour LA
