naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi,kategorije_sifre_new,kategorije_nazivi_new
"Jurij Zrnec in igralci: Avdicija, ŠPAS Teater",vabljen gledališče park komedija avdicija režija jurija zrnec igrati alojz svet igralec ekipa goran hrvaćanin dejan krupić aleksandar rajaković mario ćulibrk jernej kogovšek strog komisija igralski akademija sprejeti velik talent nadarjen študent sam virtuoz improvizacija talentirano netalentiran predstaviti dober luč zapletati odpletati igralski izziv razgaliti napaka pomanjkljivost imeti izgubiti iti stati tik veliko priložnost odpreti vrata igralski poklic zvezdniški kariera narediti uspeti iznajti gledališče obstajati nastopiti avdicija komičen zabaven tragičen iskren pompozno minimalističen zelo iznajdljiv predstava ustvarjen imeti različica razlikovati odigran lik deloma igralski zasedba oder videti lik zasedba ekipa predstava trajati minuta odmor cena vstopnica evro evro dijak študent upokojenec,2020-02-19 19:00:00,306,534788303320045.0,17,Theater,17,Theater
Extra študentski torek / Total Knockout | ŠTUK,dan žena študentski torek obarvan primerno erotičen plesalec skupina totati knockout mali erotica danec show dan mučenik pozabiti moški del kavarna štuk pripravljati posebno ponudba akcijski moški pijača presenečenje vstop preti prost dobrodošel študentski dneven soba,2020-03-10 22:00:00,653,202091796475825.0,15,Party,15,Party
"Čitalnice: Lubitsch, Komedija brez olajšanja",ernst lubitsch redek filmski ustvarjalec žanr komedija jemati zlahka tehnika fikcija primer komičen tehnika deti metafora vic aluzija omogočati privilegiran dostop obravnava urgenten družben političen problem travmatičen resen družben problem moč zapopasti lubitschevski brezkompromisno distanca izhodišče pogovor ivan novak mladen dolar jela krečič alenka zupančič tematski številka revija problem lubitsch komedija olajšanje zbirka analect založba društvo teoretsko psihoanaliza čitalnica celoleten cikel pogovor predavanje organizacija projekt udesin kooperativa thd vzpostavljati skupen prostor mišljenje aktualen družben situacija nov umetnosten političen znanstven praksa,2020-02-26 19:00:00,121,1421589401482037.0,29,Literature,29,Literature
Krofenbal,prejšni leto letos organizirati krofenbati zabava maska zabavati trio fakin dobro hrana pijača poskrbeti pusten meni rezervacija dostopen dober maska nagrajen videti,2020-02-22 19:00:00,128,110406998980453.0,21,Drinks,21,Drinks
Posvet: Bioplastika iz hmeljevine in druge odpadne rastlin. mase,vabiti posvet biothop primer primer dober praksa uporaba izdelava odpaden rastlinski del strokovnjak iskati odgovor vprašanje učinek uporaba kmetijstvo krožen okolje lokalen skupnost vabljen gost dar majkovič ministrstvo kmetijstvo gozdarstvo prehrana tatjana orhin valjavec ministrstvo okolje prostor točka lif barbar inštitut slovenija vesen žepič bogataj tecos celj stojan razvojen agencija savinja,2020-05-15 10:00:00,111,112778765443812.0,5,Other,5,Other
FaušDur Band koncert ob dnevu žena,faušdura naroden dom mežica vabiti preživeti prelep večer lep hram kultura koroški faušdura otvoritven koncert letošnji sezona premierno predstaviti nov svež repertoar pripraviti klasika manjkati ponavadi pustiti domov vstopnica volja naroden dom mežica informacija javen kulturen zavod nda mežica trg april mežica epošta info narodnidommezicas fausdurasenenavelicas stayinaliv,2020-03-08 19:00:00,252,195436610482355.0,2,Music,2,Music
"St. Patrick's Day | BIG FOOT MAMA, KAFE TEATER",patrick praznovanje štuk znamenje tullamor dew akcijski cena pijača hostesa nagraden igra koncert skupina biga foot mama kaf teater vstopnina kavarna štuk predprodaja eura,2020-03-17 22:00:00,669,202091796475825.0,15,Party,15,Party
EIGHTBOMB - Ortofest ˝Explosion of Rock´n´Roll˝,skupina eightbomba znova zasesti oder ortobara tokrat sklop ortofest ortobar prihajati direktno kratek evropski turneja avstrija nemčija belgija nizozemski zaključiti anglij svetoven znan festival northampten bedlati breakout studijski album fant pripravljati nov plošča zagledati luč svet leto nov material dati slišati koncert eightbomba ostajati zvest stil praviti nota mešanica glasben žanr blues rockabilly punk imenovati bombabilly eightbomba publika pustiti hladen tokrat drugače only rocknroll and lov jurevokalkitara levkitara urbanbobneti matevžkontrabas vstopnica volja predprodaja,2020-03-28 21:00:00,234,378314441102.0,2,Music,2,Music
Prestavljeno: 23. obletnica Villa Monde,obletnica prestavljen leto več informacija slediti obletnica villa mond vabiti skupaj praznovati leto skupen trenutek rezervirati april petek april luka bas grupa vigor dejan vunjak sobota april marka škugor ljubavnica poskočen muzikant vstopnina več informacija kmalu del zgodba več info,2020-04-17 20:00:00,2103,130266920374969.0,15,Party,15,Party
Poslovilna ŽURKA,konec nov začetek slišati bar miklavž dan odprtje odštevati zato vljudno vabljen sobota večeren ura ura skupaj posloviti zažurati znati namen pripraviti poslovilen žurka akcijski cena pijačka nebo manjkati odprodaja zaloga prigrizek poskrbljen welcom drink misliti zaključiti stil začeti zato nesmeti mankati videti sobota,2020-03-14 18:00:00,114,236363150601952.0,21,Drinks,21,Drinks
Koncert: Moj boogie band,skupina boogia banda sestava polovica delovati polovica leto prenehati aktivno igrati obdobje posneti lasten skladba ponovno zbrati leto delovati občasno glasben izhajati blues zvrst soroden rock boogia jazz zadnji obdobje igrati priredba tuj pretežno blues rock izvajalec nastop dejaven skupina trenutno zasedba andrej ojsteršek vokal akustičen kitara marka čulajević solo kitara sausages metropolis robert rebolj boben katalen janez dagarina bas len kost damir jazbec orglice travellin blues easywalkers matevž carnelutta solo kitara lucky cupids,2020-01-31 21:00:00,117,1506410519577790.0,15,Party,15,Party
1NA1: Gušti & Tomi M. @Bled,gušteti tom akustičen koncert sit teater predstavljati glasben dialog prvak slovenski koncerten rock avtor praktično napisati leto črn tulipan platina postaviti nov temelj slovenski ljubezenski rock lirika nekdaj glasben rival tokrat oder skupaj obujati spomin iskati nov dimenzija nota poezija tom meglič mihati guštin gušteti glasba glasba ekskluziven glasben poslastica iti zamuditi poceni vstopnica predprodaja eventim prodajen mesto petrol pošta cena vstopnica dan dogodek več info foto marka alpner,2020-02-14 20:00:00,255,287478705194634.0,2,Music,2,Music
Petkov swing plesni večer + July and The Shakers,vabljen petek swing plesen večer živo glasba tokrat oder svež skupina glasbenik delovati ime july and shakers glasba banda poskrbeti hišen dje mali dvorana glasba navdušenec boogia woogie današnji večer popestriti snemanje plesen večer proma ljubljana evropski prestolnica kultura pokazati bolj pristen večer vabiti danes obleči malce bolj festivalski july and shakers zasedba mlad glasbenik popeljati svet swing repertoar sestavljati priredba swing glasba klicati plesen korak član zasedba pevka julij lubej pianist ota gvardjančič kontrabasist jernej vindšnurer tolkalist iztok repovž začetek plesen večer prispevek velik dvorana july and shakers mali dvorana boogia floor motw voditi katji figek vid milojković motw mov week kratek plesen vaja kjer učitelj prisoten predstaviti naučiti kombinacija korak variacija pričeti točno studiodansac,2020-02-21 21:00:00,119,156484301059429.0,38,Dance,38,Dance
Velika pustna zabava s Kingstoni in Vilijem Resnikom na Viru,soboten pusten zabava čas pust iti letos drugače lepo vabljen veliko pustovanje skupina kingston vili resnik vir izviren skupinski individualen maska bogato nagrajen cena vstopnica dan dogodek znašati predprodaja cena vstopnica znašati predprodaja dobiti bar don juan vir šaranovičev cesta domžale skupina kingston idrija najbolj priljubljen slovenski glasben skupina vsekakor poseben pečat praviti zabava pozitiven energija izjemen karizma oder kakovost izvedba glasba uspešnica uspešnica glaven karakteristika kingston držati sam imeti lepo število hit šteti več pretiravanje lahko zatrditi skladba priti glasben pero postati uspešnica vila resnik glasba začeti ukvarjati razred osnoven šola odločiti postati kitarist nadaljevanje sodelovati rockovski skupina igrati peti herbie junak nočen kronika pomaranča yunka spin skupina pop design pričeti sodelovati november sodelovanje zaključiti pesem potepuh leto,2020-02-22 20:00:00,855,388042060566.0,2,Music,2,Music
Tour de Bar: Vseštudentsko pustovanje 25.2 Cvetličarna,tour dejati bar spoznavanje nov človek druženje prijatelj unikaten energija lahko nastati odštekan skupina več človek kup kdaj pusten torek kje kongresen trg direkt sredina kdaj zbor štart cena vključen voden tura vodič animator vstopnina welcom shota bar hud pivski igra nagraden igra collegium mondial travela prevoz center bežigrad vstopnica volja prodaja karta karta prodajen mesto viba events promotor fakulteta obraz avla fakulteta šport dif avla fti cena vstopnica promotor cena prodajen mesto karta dan dogodek vstop mesto omejen,2020-02-25 21:30:00,651,107246437510750.0,15,Party,15,Party
"Koncert Fed horses I CMK, Koper",petek fed horses turneja imenovan sprememba ustaviti cmkje označiti petek obiskati koncert oder dolg odsotnost vračati matt strasner izol tokrat akustičen preobleka vstopnina predprodajen cena eura mlad leto eura ostal dan dogodek eura karta volja cmkje obratovalen čas mladinski center fed horses slovenski alternativen country skupina ljudski melos zanimiv pristop country glasba radijski izpiljen zvočno podoba dodobra ustaliti slovenski uho koncerten prizorišče radijski postaja koncert preigravati avtorski skladba svojevrsten način koketirati country glasba lepiti vpliv american indie pop približevati zgled stran luža ekipa ohranjati avtohton izraz zadnji leto posvečati epizoden dovršen izdajati singel medtem leto skladba sinner istoimenski epje postati največkrat predvajan pesem radio val nastop izštekan kino šiška pot nadaljevati slovenski jezik februar leto skupina odpravljati turneja slovenija izid nov epje naslov sprememba medijski zapis country kantri dobro fed horses dober označiti kantri spid dober spid bistvo malo rokenrol zadnji preverjanje song zgoreti hiša domač ljubljenček pravica slep življenje roza dober bend andrej karola val slovenski prvak alter country logatec letos izdati kratkometražen sinner zvok energija izjemen težko opisati treba doživeti glasba otožno duša gibek bok obenem čas najbolj navdihovati otožen leaving lep video posnet kamnolom verdo jura longyki izštekan val matija štrasner primorski country avtor izvajalec predstavljati avtorski skladba napisan angleski jezik slog sodoben ameriški country prilagojen ime matt strasner country glasben zgodba leto pricel ameriski nashville snemanje grammy nagrajen ekipa povabiti priznan producentka copeland lanski uspeh singel still arounda zel uspeh tuj nizozemski avstralija vba domac radijski postaja lestvica začetek jeseni znova odpraviti nashville kjer posneti nov skladba uspeh singel kiss posneti video spot zacetek letosnji leto izdati ready sin uspeh nasti svetoven country radijo postaja organizator zmkt center mlad koper,2020-02-21 20:30:00,122,551779861642881.0,2,Music,2,Music
Café Evropa: pogovorni večer z Miho Šaleharjem,prost mesto dogodek zapolnjen zahvaljevati razumevanje,2020-02-12 18:00:00,175,145358245626807.0,5,Other,5,Other
Dan D,sobota zaključek kulturen drugače povedan dan dan oder patriot priti energičen novomeščan tomislav jovanovič tokac glas kitara dušan obradinovič ober boben marka turka tuča kitara nikola sekulovič bas kitara boštjan grubar klaviatura leto ustvarjati rockerski poetika postati slovenski klasika peljati voda oblak počaaaas lov song plesati reči svet čisto drugače vrteti takrat sam pozitiven misliti vstopnina predprodaja začeti patriot dan dogodek študentski študentski vstopnica lahko zagotoviti priložen potrdilo vpis študentski izkaznica vstopnica volja dan dogodek cena,2020-02-29 21:00:00,228,530615857048295.0,2,Music,2,Music
Kvatropirci | Bohinjska Bistrica: Razprodano,koncert razprodan začetek leto kvatropirec prvič podajati koncerten turneja slovenija večkrat nagrajen vokalen skupina festival melodija morje sonce vedno znova očarati publika kvalitetno izvedba pesem iskrenost karizma prepričjiv nastop fant oči publika veljati večen romantika imeti pripravljen lep dalmatinski skladba večen klasika oliver dragojević slovenski skladba opevati morje večer miniti hit deklica spomin živet dober dan duet jan plestenjak pesem veter veti videti kvatropirec,2020-03-08 18:00:00,146,108338529194425.0,"2,6,16,55","Music,Concert,Kid Friendly,Pop music",2,Music
Ritem Balkana I Sobota 1.Februar I Čili Club,znan besedilo plesen ritem kratek krilo vedno prekratek noč slišati ritem balkan sobota čil bar club btce city murski sobota prepustiti velik hit trenutno tresti jugobalkan glasben scena welcom drink raki party pijača vstopnina rezervacija miza gmailca miza potrebno prevzeti kasno ura prostor poseben slaviti rojsten dan imeti obisk posloven partner prijatelj pripravljati poseben after party večerja sodelavec vip prostor striktno namenjen gost rezervacija število omejen več info poklicati piš cilibarclub gmailca oseba star leto nahajati nakupovalen središče btce city msobota,2020-02-01 21:00:00,246,1461682140639867.0,"12,15,30,50","Dancing,Party,Nightlife,Dance music",15,Party
Slovenski kulturni praznik v Narodni galeriji,slovenski kulturen praznik februar vabiti ogled stalen zbirka občasen razstava obisk številen brezplačen dejavnost vstop prost galerija odprt ogled razstava srbski modernizem zbirka galerija srbski matica razstava zoran mušič leto razstaven katalog stalen zbirka stalen razstava del zoran mušič program odrasel mlad kratek predstavitev umetnina motiv zoran mušič stalen razstava del zoran mušič zbiren mesto razstava trajanje minuta konjiček avtoportret krajina poslednji konjiček avtoportret konjiček krajina poslednji avtoportret konjiček poslednji velikost skupina posamezno vodstvo omejen obiskovalec čas kratek vodstvo samostojen ogled razstava mogoč kratek predstavitev izbran umetnina stalen zbirka stalen zbirka zbiren mesto posamezno umetnina stalen zbirka trajanje minuta hans georg geigra von geigerfeld jurija boj zmaj valentin metzinger poveličanje frančiška saleški marka pernhart panorama šmaren gora karl ruthart boj medved lovski pes martin van meytens cesarica marija terezija franca jelovšek svet družina frančišek kareti remba alegorija čast bogastvo franca kavčič fokion žena bogato jonka ivan kobilec poletje ivan grohar pomlad rihard jakopič spomin stati kregar predsmrten pesem ustvarjanje akada slikar začeti risati nadstropje vhoden avla koncert vokalen skupina bejazzy slavnosten dvorana trajanje mina zimzelen glasben dediščina dediščina evergreenov dan volja izbran rekvizit slika lahko fotografirati fotografirati objava narodnagalerija nationalgalleryofslovenia program otrok družina mini družinski vodstvo mušičev konjiček stalen razstava del zoran mušič zbiren mesto vhoden avla cankarjev trajanje mina mini družinski vodstvo umetnina stalen zbirka zbiren mesto robbov vodnjak trajanje mina ustvarjalen delavnica dičiti dičiti dič galov soba predšolski otrok družina ustvarjalen delavnica konjiček vhoden avla nadstropje otrok leto družina informacija trgovina ngslos,2020-02-08 10:00:00,287,134105093314759.0,25,Art,25,Art
Jurčičev pohod 7.3.2020,dan iti jurčičev pohod dobiti višnja gora štart cerkev zgoraj ljubljana oditi točno lahko dogovoriti iti manj avto parking pretek prijava samski pvt pošlihtati prevoz,2020-03-07 07:00:00,1424,115058735173181.0,32,Causes,32,Causes
"Predavanje: Andrej Gaspari, Neznano slovensko morje",razstava izginjajoč svet ohraniti morje vljudno vabiti naroden muzej slovenija metelkov maistrov ulica vhod ploščad muzejski predavanje andrej gaspari neznano slovenski morje podvoden kulturen dediščina morski dno luč arheološki raziskava predavanje rezultat podvoden arheološki raziskava slovenski teritorialen morje poudarek izbran spoznanje odkritje zadnji četrt stoletje organiziran poseg podrobno predstavljen ostanek rimski pristanišče ribogojnica priobalen pas jernejev drago ankaran piranski zaliv razbitina ladja odprt morje pripadati različen obdobje antika konec doba jadrnica polovica stoletje predavatelj ozreti sled potopljen holocenski krajina potencial preučevanje prazgodovinski obljudenost območje transgresija morje izziv ohranjanje arheološki najdišče morski dno prednost interdisciplinaren sodelovanje raziskava potopljen kulturen dediščina integralen delo naraven okolje predavatelj andrej gaspari univ dipti arheolog zaposlen visokošolski učitelj področje rimski arheologija filozofski fakulteta univerza ljubljana leto sodelovati več arheološki izkopavanje najdišče slovenija tujina pomemben raziskava ostanek antičen emon območje nuk šumeti večperioden najdišče mariborski cesta celj avtor več znanstven strokoven del področje arheologija pozen prazgodovina zgodnjerimski obdobje praven varstvo kulturen dediščina antičen ladjedelništvo podvoden raziskava več leto intenzivno posvečati raziskava podvoden najdišče celinski voda morski akvatorij sodelovati vrsta mednaroden projekt leto član mednaroden komisija icuch internationala committe underwater culturati heritaga mandat član znanstven tehničen svetovalen telo konvencija unesco varovanje podvoden kulturen dediščina udeležba predavanje brezplačen razstava,2020-02-11 17:00:00,319,3026449710700492.0,5,Other,5,Other
"Veganstvo DIY: Delavnice, debata in večerja",dogajanje delavnica šivanje recikliran blago tisk otroški delavnica izdelava prsten lutka diskusija vloga nečloveški žival družba specizem veganstvo kuharski delavnica mleko telička rastlinski mleko fermentiran siren namaz večerja veganski kebab cel čas dogodek potekati izmenjevalnica seme sadika izmenjevalnica oblačilo uporaben predmet opis delavnica spodaj prirejati dogodek sklop medsebojen izmenjava diy narediti sam kultura dogodek temeljiti medsebojen izmenjava znanje predmet dobrina povezovanje dogodek namenjen osveščanje veganstvo antispecizem nečloveški žival človek del družba zaslužiti živeti dostojno svobodno življenje trenuten družba ospredje kapital nadvlada posledica izčrpavanje naraven surovina pobijanje izkoriščanje nečloveški žival privatizacija skupen okolje pregon pobijanje ljudstvo uničevanje narava globalno segrevanje izkoriščanje delavkec vojna profit peščica človek meniti povezovanje grajenje skupnost temeljiti enakost medsebojen izmenjava zelo pomemben prihodnost opis delavnica kuharski delavnica kuharski delavnica pripraviti degustirati domač rastlinski mleko fermentiran veganski siren namaz ekološki lokalen orešček stročnica seme pogovarjalea etičen okoljski zdravstven prednost rastlinski polnovreden prehrana kje izbirati kakovosten ugoden sestavina pogovorileo alternativa mlečen izdelek neskončen zmožnost ustvarjanje okusen preprost veganski dobrota veganski skuta veganski sir mozzarella cheddar nacha camembert delavnica šivanje recikliran blago šiviljski delavnica šivati povšter vrečka večkratno uporaba ipd izdelek sešiti ostanek blago delavnica spodbudileo reciklaža plastika papir blago imeti doma odvečen majica hlače prinesti skupaj sešileo uporaben sešit izdelek možen tiskati slogan ozaveščati veganstvo otroški delavnica izdelava prsten lutka otroški delavnica izdelovati prsten lutka oblika živalca odpaden blago volja knjigica pripovedovati žival zgodba nikin prijazen vas diskusija vloga nečloveški žival družba specizem veganstvo diskusija namenjen razumevanje odnos imeti človek ostal žival vloga nečloveški žival današnji družba skušalea razumeti specizem vpliv družba pogovarjalea veganstvo pomemben nerazumljeno kdaj agresivno del delavnica namenjen odgovarjanje vprašanje glede omenjen tematika prost diskusija izmenjevalnica oblačilo uporaben izmenjavalnica ponuditi alternativa kapitalističen princip ekonomija izkoriščevalski netrajnosten nedostopen prinesti odnesti vseeno prositi prinašati prevelik količina izmenjevalnica seme sadika ponuditi alternativa nakupovanje korporacijski seme spodbuditi človek sajenje pridelovanje hrana rastlina okenski polica balkon prinesti seme sadika izmenjati,2020-02-20 17:00:00,158,551779861642881.0,"16,32,245,246","Kid Friendly,Causes,Vegan,Animal rights",32,Causes
Otvoritev #dvoranaSLOfilma,kolosej ljubljana odpirati vrata slovenski filmski ustvarjalec projekt namenjati dvorana slovenski film vzpostavitev dvorana slovenski film širiti filmski kultura povečati dostopnost domač film pomembnost slovenski film domač tla otvoritev dvorana slovenski film četrtek februar leto mogoč ponovno ogledati kulten komedija jebiga slovenski komedija jebiga leto vračati slovenski kinematograf prenovljen digitaliziran verzija film star nov generacija jebiga komedija minuta scenarij režija mihati hočevar igrati matej družnik marka miladinović gorazd obersneti david furlan jura sotler vasten valič damijan škafar polon juha karmen rupnik hvalica skupina fant preživljati poletje ljubljana kjer vlada splošno pomanjkanje pomanjkanje denar alkohol droga ljubezen seks ogrožati nenaklonjenost okolje sreča težava zdeti hudo zabaven zaplesti preplesti večina srečno razplesti starati film,2020-02-06 20:00:00,150,104823481059241.0,36,Film,36,Film
