naziv,opis,datum_od,stevilo,sifra_prizorisca
DROPS festival 2019,drop festiv last year seed plant thi year plan grow our previou edit show what can with sheer will build festiv from scratch with almost zero fund learn lot and give power and motiv make anoth edit the best possibl psychedel event our neck the wood drop will mark new era slovenian rave histori the onli intern underground electron festiv with high emphasi deep power music audiophil soundsystem the high qualiti the sound the festiv will blast two stage the hallucinatorium will focus highli psychedel tranc music with our humbl opinion some the most forward think artist the scene thi stage will power upgrad legendari funktion soundsystem the cage stage will focu deep pound sound dark qualiti techno the nighttim and chill out experiment ambient dub world music electro etc daytim thi stage will power lambda lab highli innov highend speaker compani with mindblow result qualiti sound the vision visionari decor will provid wellknown part collect artist with mindalt idea about what dancefloor can look like testament qualiti they choose light guerilla festiv light ljubljana display their absolut insan interact light cube check thi out they will collabor with psi optix decor psi optix small squad good friend live austria special string art lycra and backdrop they celebr the year anniversari the festiv prepar for some mindblow stuff hallucinatorium parvati record greec quintess record germani uroboro record chile gloom record brazil uroboro record chile uroboro record brazil love corp costa rica banyan record shipibo sound austria visionari shaman ewok austria optix tribepsyoptix austria chagga record slovenia chagga record slovenia chagga record slovenia quadlogo slovenia cage stage rommek blueprint record unit kingdom sharad sood ankurbln ritual atmophil electron germani glia toxic rec deepnd rec slovenia germani shdwl triangular shape daze and confuz mint soter amun slovenia peltz chagga record slovenia ofnanapesa chagga record krdm slovenia selgor chagga record slovenia lnln chagga record slovenia stagnat chagga record afghanistan slovenia douchean chagga record krdm slovenia higashi nosyncbutton fli carpet slovenia drof sektorselektor slovenia beluga sektorselektor slovenia sezam slovenia presal ticket eur for ticket send chagga record contact our ambassador bor slovenia intern vid slovenia ljubljana ilja itali triest support buy presal ticket realli doe make differ camp highend non vegan food open bar beauti locat the forest info and lineup announc come realli soon stay tune,2019-08-16 12:00:00,6268,1241679469340600
K4x4 w/ The Ghost (UK),voznika najbolj razvpit potujoč ploščarn berlina februarja zavila kersnikovo gosti nahajpani eklektični duo the ghost jame creed josh tweek več let hupata vinilnim mercedesovim busom krožita berlinu mesečno vozovnico linijo uporabljajo fotri zip the ghost mestu znana organizaciji nabitih večerov rejverski ladji hoppetoss skrbno izbrani vinilni kovčki vodijo desetletjih hous tehno elektro godb seti pripeljali festiv dimens tik nastopom štirki celovečerec londonskem fabricu dvojec the ghost velikem flooru uvedel mayel manjka izkušenj nemških klubov pofočk legendarnem robertu johnsonu baru poveljevala evropskimi gigi podkovana nikolaj moar bazen the ghost mayel luckison bar nikolaj phi moar klub kersnikova ljubljana starostna omejitev age limit vstopnina entranc fee predprodaja olaiicom dan dogodka info info garderoba lose find gmailcom,2020-02-21 23:00:00,562,126700024052347
Koncert Psihomodo pop,letih mestu legend cro rolla starih uspešnicah predstavili nove komad zadnjega albuma digitalno nebo boljši alo stari zagrelii dvorano štuk,2020-05-08 21:00:00,557,106288480930808
Pustovanje 2020,najmlajši povedali pusta hrusta našli kostum sešili sestavili ustvarili letošnj maškar približujejo pustni torek padel februar vrhniki pustovali pustno nedeljo februarja letošnj rajanj potekalo dvorani antona martina slomška suhem toplem ure vest ribič pepe najboljši prijatelj ptič kakadudu lovili lisjaka foksnerja našli zaklad skupaj plesali prepevali poznan skladb foksner gremo morj lačni gusar kakadu hozntregarji gremo sveta lumpi kavbijci indij pustno rajanj popestrili žabic plesna šola urška mažoretk vrhnika spremstvu pihalnega orkestra vrhnika lahko prepustili poslikavi obraza potek izbor mask krofi simbol pustovanja poskrbel leo klub vrhnika vstop prost visitvrhnika,2020-02-23 15:00:00,503,249529702079926
36. Druga godba 2020,lanski obletnici festiv programsko močno vpet evropski projekt jazz connect godba vrača običajn tirnic mnogi zvesti obiskovalci prepoznali retro zasuk konceptu programski konvencionalnosti izstopajočih imen zaznamovala program festivalov zlatih letih ponudb glasb sveta začinila imena cesaria evora youssou ndour khale mariza mnogi neizmerno vese lahko leto družbi fatoumata diawara nedvomno vodilna novi generaciji glasbenikov afrik prisotna festivalih koncertnih prizoriščih godba žanrsko povsem neomejeni tovrstnim glasbenikom ponujajo možnost lastn izbir celotnega programa npr nastop fatoum diawar referenčnem festivalu guess who letošnja godba prvič ponuja petj rusk republik burjatij litv afganistana plesno afrokaribsko champeto kolumbij slovenski pevki delom zaznamovali domačo sceno zadnjem desetletju tradicija festivala ostala neokrnjena upreti ponovnem povabilu sijajni sílvii pérez cruz predstavitvi trenutno najboljšega balkanskega brass banda mladcev francij mnoge spomnili izjemni nastop còr plana naslednjih tednih program razširjen izvajalci atraktivnim programom pogovorov delavn novo koncertno predstavo otrok pripravljamo skupaj vodnikovo domačijo prepričani program vsebinski geografski raznolikosti obsegu točno lahko privošči ljubitelj glasb delit radovednost ljubljani mariboru programski odbor festivala godba bogdan benigar nada čorović ira kolbezen maaik wuyt sreda maj cankarjev dom sílvia pérez cruz san salvador musiqu četrtek maj udu vodnikova domačija losbulldoz kino šiška fatoumata diawara kino šiška petek maj cankarjev dom christin abdelnour andi moor the uršula ramoveš fantj jazbecov grape kefaya elaha soroor sobota maj lutkovno gledališč maribor zvezdana novakov zven gostj dzambo agusevi orchestra,2020-05-13 20:00:00,870,202855746590308
?? / ???????? ???????? / 29.02. / Vstopnine Ni,veselica sobota klub pivnica nova generacija leto februar obstaja poseben trenutek zgodi leta zato večer zabav vstopnin sort punca lepota imat dan dogodka teden ponedeljka sobot rojstni dan praznujet dobit steklenico identifikacija osebnim dokumentom možnost predhodna rezervacija mize dogodkih posebnem mestu praznujt rojstni dan dekliščino fantovščino družbo pišit rezervirajt privat sporočilo rezerviraj prevoz prelesj šentrupert slovenija,2020-02-29 21:00:00,616,139371466073168
Veselica: Zvita Feltna in Urban Vidmar,kšk charli pripravlja najbolj noro noč daleč hum leto vračata edina zvita feltna edinstven urban vidmar skupaj bendom naredili noč nepozabno dogodek povezov jacobsen pridit skupaj podoživimo lansko prekrokano zabavo kdaj marec kje dvorana hum vstopnic kmalu predprodaji starostna omejitev,2020-03-28 21:30:00,619,109049862457101
K4 Roza: Taste of Berlin,močnim priokusom berlinsk klubsk scene kvirovsk energij ponovno vstopajo klet kersnikovi mešalnimi pulti zvrstili berlinski adi toledano touché aminu ljubljanski holomondo ponovno združevali pravijo združeno večer preplet plesnih svetov elektronskega popastičnega srca bijejo mali floor prihajata ljubljenca berlinskih klubov adi toledano touché adi toledano kariero začel tel avivu znan prepletanju žanrov ustvarja nove elektronsk zgodb kmalu postal stalnica znanih berlinskih klubov partijev tresor about blank cocktail damor riot and the carri nation nyc touché organiz dogodkov lastnik zloglasnega kvirovskega kluba sound rip razkošnimi miksi vokalnega housa poživljajočega diska osvežil plesišča mnogih razvpitih klubov griessmühl wild renat schwuz sodelov underground dogodkih trasher brenna rezid domačem studiu francoskoberlinskim šarmom dobro mero electro popa velikem flooru postregel aminu ustanovni član danceclash skupin plateau repa bivši bobnar benda evvol pravkar izdal solo album dumbait neustavljivim popom glasbeno neuravnoteženost rušil ljubljanski holomondo bar adi toledano touché arena aminu holomondo klub kersnikova ljubljana starostna omejitev age limit vstopnina entranc fee info info garderoba lose find gmailcom društvo škuc,2020-02-29 23:00:00,650,126700024052347
"Motozbor z blagoslovom, MK Packenstein, Šmartno ob Paki",binkoštni motopraznik savinjski šaleški dolini nedeljsko srečanj motoristov blagoslovom bogatim programom zabavnimi igrami srečolovom dobrim ansamblom hrano pijačo zbor motoristov panoramska vožnja moto igr blagoslov motorjev zbranih zabava shadow play bobnar mark gosti blagoslov popestrila ponudba številni razstavljalci motooprem yogi racer helit nolan smart turn sistem zbor začetek prireditv ure dalj vabljeni motoristi mopedisti motoveterani ljubitelji starodobnih vozil firbci takrat nimat pametnega primeru slabega vremena prireditev soboto aprila srečanj močeh podprli občina šmartno paki mladinski center šmartno paki sponzorji donatorji predstavljeni sami prireditvi,2020-05-31 09:00:00,696,1600875000164422
"Mura - Maribor, 22. krog PLTS",tekma letu fazaneriji takoj derbi krogu liga telekom slovenij mura februarja pomerila maribor vstopnic prodaji glavna tribuna evrov ostal tribun evrov otroška vstopnica evr vip evrov fazanerijo,2020-02-26 17:00:00,1600,277845136174508
Ilario Alicante / Reload Marco Polo / 14.03,ilario alicant reload marco polo marco polo club nova gorica slovenia after few month dedic our own artist and play some wonder night between mostovna and other intim club now time big again come back our base marco polo after month and half alreadi veri excit itself but when add such guest and good friend top make liter count the day with veri big pleaseur and honor host the big italian and worlwid techno expon ilario alicant back our club march come soon don miss the parti the month line ilario alicant virgo cocoon record soma damir hoffman matteo puntar gabriel volpi erik gross biglietti ticket presal limit ticket door olaii predprodajna mesta omv trafika nova goricaljubljana erik izolakop naomi rezervacij vip tera vip terrac reserv info reloadsi info prevendita italia udin sonar drink frequenc offici ticket point via est angolo vial palmanova tobia monfalcon matteo cividal leonardo gorizia triest staci info tavoli info reloadsi,2020-03-14 23:30:00,1063,146840272082253
"Dan žena in Dan mučenikov ► Mambo Kings, Domenica, Tomy Vertigo",tradicionalni pomladni žur gostilni japu dan žena dan mučenikov mambo king domenica tomi vertigo sobota domenica nema svit ciribu ciriba vidi aviona mambo king balerina romeo julija shaka,2020-03-14 21:00:00,758,671736182881527
Predavanje dr. Sanele Banović - ˝Dobra beseda in topel objem˝,sanela banović zdravnica gastro enterološkem oddelku ljubljanskega kliničnega centrum navdušuj motivacijskimi predavanji enostaven način pojasnila sprememba načina razmišljanja vpliva kvaliteto življenja spodbudila življenj vnesli več poguma smeha ljubezni dotikov objemov modrosti znanja poštenosti skromnosti govorila notranja zunanja komunikacija vplivata razvoj možganov socialnokognitivn sposobnosti pomeni naučena komunikacija otroštvu proce razvoja možganov najbolj aktiven tar telo fiziološko reagira motnj notranj komunikacij,2020-03-09 18:00:00,665,199231520118052
Joshua Redman Quartet // 18|3 // Musicology Barcaffe Sessions,ljubljano sklopu serij koncertov musicolog barcaff session slovenija sodelovanju cankarjevim domom prihaja najbolj znanih najbolj karizmatičnih umetnikov srednj generacij joshua redman kvartetom linhartovi dvorani cankarjevega doma nastopil marca uri zasedba joshua redman saksofon aaron goldberg klavir reuben roger gregori hutchinson bobni redman sin legendarnega saksofonista deweyja redmana plesalk rene shedroff zato malega srkal vplive različnih glasbenih žanrov inštrumentov letih glasbeno popotovanj začel klarinetom potem presedl tenorski saksofon izpustil dane rubriko glasbeni vplivi naštej imena john coltran ornett coleman cannonbal adderley aretha franklin earth wind and fire the beatl princ the polic lead zeppelin očeta deweyja redmana študijem znašel new yorku kjer globoko zabredel tamkajšnjo jazzovsko sceno kmalu posegel mednarodni nagradi theloniousa monka leta sledili pogodba založbo warner bro izdaja prvenca nominiran nagrado grammi sledili albumi spirit the moment freedom the groov timeless tale for chang time glasbeni sceni zasidr najuspešnejših jazzistov inštrumentalno zakladnico dodal sopranski altovski saksofon dane izdal albumov uveljavljen glasben založb warner bro nonesuch sodelov imeni king bill frisel marcu miller the roll stone herbi hancock stevi wonder zavihtel nešteto top list najeminentnejših glasbenih časopisov portalov trikrat nominiran najprestižnejšo nagrado grammi vstopnic naprodaj informacijskem središču cankarjevega doma pooblaščenih prodajalcih mojekartesi predprodaja eur dan koncerta eur,2020-03-18 20:00:00,626,1573580226230353
Resslov festival piva,craft pivo veslanj igr sonc druženj krka hrana koncert možnost kampiranja vidimo kostanjevici,2019-08-03 14:00:00,725,555553107955354
10.obletnica salse v Sputniku,dragi plesni navduš vabimo pridružit veliki zabavi obletnici sals sputniku pripravljamo plesišča salsa kizomba bachata plesišč več vrhunsko glasbo skrbeli top djji panchito salsa floor goffi kizomba floor rocco loco bachata floor vstopnina eur kdaj petek save the date veselimo obiska kavarna sputnik your,2020-03-06 21:00:00,514,103727819702351
Zbudi me za 1. maj! - Zalog pri Cerkljah,največji prvomajski žur gorenjsk program april pop design maj zvita feltna lokacija zalog cerkljah šotor osnovno šolo zbudi maj največji najbolj vroč žurerski dogodek maju gorenjskem leto pozabil odlično zabavo prazniku dela pestrega animacijskega programa leto zabavo poskrb pop design nebo tleh ostani odhajaj zvita feltna ginin tonic edina kraljica,2020-04-30 20:00:00,1062,2563769070514685
Zvita Feltna / Veliki vseštudentski žur / TOP SIX / Prestavljeno,sporoč dogodek prestavljen nove izredn uredb nadaljnjega prepoveduj obratovanj gostinskih lokalov klubov nov datum sporočimo kmalu trenutni datum dali sredo dogodek izbriš točen datum sporočimo veliko priti pustit interest dogodku popravili datum tekočem kdaj prestavljen datum potrdi dogodek sodeluj nagradni igri vstopnic najboljša zabava top six manjkati ponovno pripravljamo nepozaben žur govorilo dolgo sredo prihajajo top six club zvita feltna obeta nepozabni žur prodaja kart možna ponedeljka fakulteti strojništvo aškerčeva strojniksi šof soba jedilnico olaiicom bencinski servisi omv trafik možna rezervacija mize cena rezervacij veliki boat malih brezalkoholnih pijač eur potrebno vstop posebaj kupiti kart vidimo rezervacija mize tel študentska organizacija fakultet strojništvo šof strojniksi,2020-05-13 23:00:00,629,331835760245003
