naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi
"Jurij Zrnec in igralci: Avdicija, ŠPAS Teater",vabiti gledališče park komediti avdicija režija jurje zrnec igrati alojz svet igralec ekipa goran hrvaćanina dejan krupić aleksandar rajaković mario ćulibrk jerneja kogovšek strog komisija igralski akademija sprejeti velik talent nadarjen študent sam virtuoza improvizacija talentiran netalentiran predstaviti dober luč zapletati odpletati igralski izziv razgaliti napaka pomanjkljivost imeti izgubiti greda stati tik velik priložnost odpreti vrata igralski poklic zvezdniški kariera narediti uspel iznajti gledališče obstajati nastop avdicija komičen zabaven tragičen iskren pompozen minimalističen zelo iznajdljiv predstava ustvarjen imeti različica razlikovati odigran lik delo igralski zasedba oder videti lik zasedba ekipa predstava trajati minuta odmor cena vstopnica ever ever dijak študent upokojenec,2020-02-19 19:00:00,306,534788303320045.0,17,Theater
Extra študentski torek / Total Knockout | ŠTUK,dan žena študentski torek obarvan primeren erotičen plesalec skupina totati knockouti mali erotica danec show dan mučenikov pozabiti moški del kavarna štuk pripravljati poseben ponudba akcijski moški pijača presenečenje vstop preti prost dobrodošel študentski dneven soba,2020-03-10 22:00:00,653,202091796475825.0,15,Party
"Čitalnice: Lubitsch, Komedija brez olajšanja",ernst lubitsch redek filmski ustvarjalec žanr komedij jemati zlahka tehnika fikcija primer komičen tehnika deti metafor vica aluzija omogočati privilegiran dostop obravnava urgenten družben političen problem travmatičen resen družben problem moč zapopasti lubitschevski brezkompromisen distanca izhodišče pogovor ivati novak mladen dolar jeti krečič alenka zupančič tematski številka revija problem lubitsch komedij olajšanje zbirka analecti založba društvo teoretski psihoanaliza čitalnica celoleten ciči pogovor predavanje organizacija projekt udesin kooperativ thd vzpostavljati skupen prostor mišljenje aktualen družben situacija nov umetnosten političen znanstven praksa,2020-02-26 19:00:00,121,1421589401482037.0,29,Literature
Krofenbal,prejšen leto letos organizirati krofenbati zabava maska zabavati trio fakin dober hrana pijača poskrbeti pusten menij rezervacija dostopen dober maska nagrajen videti,2020-02-22 19:00:00,128,110406998980453.0,21,Drinks
Posvet: Bioplastika iz hmeljevine in druge odpadne rastlin. mase,vabiti posvet predstavljen lifeprojecti biothop primera primera dober praksa uporaba izdelava bioplastika odpaden rastlinski del strokovnjak iskati odgovor vprašanje učinek uporaba bioplastika kmetijstvo krožen gospodarstvo okolje lokalen skupnost vabiti gostja dar majkovič ministrstvo kmetijstvo gozdarstvo prehrana tatjan orhina valjavec ministrstvo okolje prostor nacionalen točka lifa barbar inštitut hmeljarstvo pivovarstvo slovenija vesen žepič bogatati tecos celj stojen praprotnik razvojen agencija savinja bioplastics resourceefficiency circulareconomy,2020-05-15 10:00:00,111,112778765443812.0,5,Other
FaušDur Band koncert ob dnevu žena,faušdur naroden dom mežica vabiti preživeti prelep večer lep hram kultura koroški faušdur otvoritven koncert letošnji sezona premieren predstaviti nov svež repertoar pripraviti klasik manjkati ponavadi pustiti dom vstopnica volja naroden dom mežica informacija javen kulturen zavod nda mežica trg april mežica epošta infa narodnidommezicas fausdurasenenavelicas stayinaliv,2020-03-08 19:00:00,252,195436610482355.0,2,Music
"St. Patrick's Day | BIG FOOT MAMA, KAFE TEATER",patricka praznovanje štuk znamenje tullamoči dew akcijski cena pijača hostes nagraden igra koncert skupina big foota mama kaf teater vstopnina kavarna štuk predprodaja eura,2020-03-17 22:00:00,669,202091796475825.0,15,Party
EIGHTBOMB - Ortofest ˝Explosion of Rock´n´Roll˝,skupina eightbomba znova zasesti oder ortobar tokrat sklop ortofest ortobar prihajati direkten kratek evropski turneja avstrija nemčija belgija nizozemski zaključiti anglijje svetoven znan festival northamptno bedla breakouti studijski album fant pripravljati nov plošča zagledati luč svet let nov material dati slišati koncert eightbomba ostajati zvest stil praviti nota mešanica glasben žanr blues rockabillyje punek imenovati bombabilly eightbomba publika pustiti hladen tokrat drugače only rocknroll anda lov jurevokalkitara levkitara urbanbobneti matevžkontrabasa vstopnica volja predprodaja,2020-03-28 21:00:00,234,378314441102.0,2,Music
Prestavljeno: 23. obletnica Villa Monde,obletnica prestavljen leto več informacija sled obletnica ville mond vabiti skupaj praznovati let skupen trenutek rezervirati april petek april luk basa grupa vigor dejan vunjak sobota april marka škugor ljubavnica poskočen muzikant vstopnina več informacija kmalu del zgodba več infa,2020-04-17 20:00:00,2103,130266920374969.0,15,Party
Poslovilna ŽURKA,konec nov začetek slišati bar miklavž dan odprtje odštevati zato vljuden vabiti sobota večeren ura ura skupaj posloviti zažurati znati namen pripraviti poslovilen žurka akcijski cena pijačka nebo manjkati odprodaja zaloga prigrizek poskrbljen welcom drinka misliti zaključiti stil začeti zato nesmeti mankati videti sobota,2020-03-14 18:00:00,114,236363150601952.0,21,Drinks
Koncert: Moj boogie band,skupina boogio banda sestava polovica delovati polovica let prenehati aktiven igrati obdobje posneti lasten skladba ponoven zbrati leto delovati občasen glasben izhajati blues zvrst soroden rocka boogio jazz zadnji obdobje igrati priredba tuj pretežen blues rocka izvajalec nastop dejaven skupina trenuten zasedba andreja ojsteršek vokati akustičen kitara marka čulajević sola kitara sausages metropolisa robert rebolj boben katalen janez dagarina basa len kost damir jazbec orglica travellina blues easywalkers matevž carnelutt sola kitara lucky cupids,2020-01-31 21:00:00,117,1506410519577790.0,15,Party
1NA1: Gušti & Tomi M. @Bled,gušta tom akustičen koncert sit teater predstavljati glasben dialog prvakov slovenski koncerten rocka avtorjev praktičen napisati let črn tulipan platina postaviti nov temelj slovenski ljubezenski rocka lirika nekdaj glasben rival tokrat oder skupaj obujati spomin iskati nov dimenzija nota poezija tom meglič mih guština gušta glasba glasba ekskluziven glasben poslastica iti zamuditi poceni vstopnica predprodaja event prodajen mesto petrola pošta cena vstopnica dan dogodek več infa fota marka alpner,2020-02-14 20:00:00,255,287478705194634.0,2,Music
Petkov swing plesni večer + July and The Shakers,vabiti petek swing plesen večer živ glasba tokrat oder svež skupina glasbenikov delovati ime july anda shakers glasba banda poskrbeti hišen dje mali dvorana glasba navdušenec boogio woogiej današnji večer popestriti snemanje plesen večer proma ljubljana evropski prestolnica kultura pokazati bolj pristen večer vabiti danes obleči malce bolj festivalski july anda shakers zasedba mlad glasbenikov popeljati svet swing repertoar sestavljati priredba swing glasba klicati plesen korak član zasedba pevka julij lubej pianist ota gvardjančič kontrabasist jerneja vindšnurer tolkalist iztok repovž začetek plesen večer prispevek velik dvorana july anda shakers djje mali dvorana boogio floor motw voditi katja figek vid milojković motw mov week kratek plesen vaja kjer učitelj prisoten predstaviti naučiti kombinacija korak variacija pričeti točen studiodansac,2020-02-21 21:00:00,119,156484301059429.0,38,Dance
Velika pustna zabava s Kingstoni in Vilijem Resnikom na Viru,soboten pusten zabava čas pust iti letos drugače lep vabiti velik pustovanje skupina kingston viliti resnik vir izviren skupinski individualen maska bogat nagrajen cena vstopnica dan dogodek znašati predprodaja cena vstopnica znašati predprodaja dobiti bar don juan vir šaranovičev cesta domžati skupina kingston idrija najbolj priljubljen slovenski glasben skupina vsekakor poseben pečat pravi zabava pozitiven energija izjemen karizem oder kakovost izvedba glasba uspešnica uspešnica glaven karakteristika kingston držati sam imeti lep število hit šteti več pretiravanje lahek zatrditi skladba priti glasben pero postati uspešnica vila resnik glasba začeti ukvarjati razred osnoven šola odločiti postati kitarist nadaljevanje sodelovati rockovski skupina igrati peti herbio junak nočen kronik pomaranča yunka spina skupina pop design pričeti sodelovati november sodelovanje zaključiti pesem potepuh let,2020-02-22 20:00:00,855,388042060566.0,2,Music
Tour de Bar: Vseštudentsko pustovanje 25.2 Cvetličarna,toura dejati bar spoznavanje nov človek druženje prijatelj unikaten energija lahek nastati odštekan skupina več človek kup kdaj pusten torek kje kongresen trg direkt sredin kdaj zbor štarta cena vključen voden tur vodič animator vstopnina welcom shota bar hud pivski igra nagraden igra collegium mondial travel prevoz center bežigrad vstopnica volja prodaja karta karta prodajen mesto viba events promotor fakulteta obraz mfa avla mfa fakulteta šport difa avla fti cena vstopnica promotor cena prodajen mesto karta dan dogodek vstop mesto omejen,2020-02-25 21:30:00,651,107246437510750.0,15,Party
"Koncert Fed horses I CMK, Koper",petek fed horses turneja imenovan sprememba ustaviti cmkje označiti petek obiskati koncert odreti dolg odsotnost vrač matti strasner izola tokrat akustičen preobleka vstopnina predprodajen cena eura mlad let eura ostal dan dogodek eura karta volja cmkje obratovalen čas mladinski center fed horses slovenski alternativen country skupina ljudski melos zanimiv pristop country glasba radijski izpiliti zvočen podoba dodobra ustaliti slovenski uho koncerten prizorišče radijski postaja koncert preigravati avtorski skladba svojevrsten način koketirati country glasba lepiti vpliv american indiej pop približevati zgled stran luža ekipa ohranjati avtohton izraz zadnji let posvečati epizoden dovršen izdaja singel medtem let skladba sinner istoimenski epje postati največkrat predvajati pesem radio val nastop izštekan kino šiški pot nadaljevati slovenski jezik februar let skupina odpravljati turneja slovenija izid nov epje naslov sprememba medijski zapis country kanter dober fed horses dober označiti kanter spid dober spid bistvo mali rokenrola zadnji preverjanje song zgorel hiša domač ljubljenček pravica slep življenje roza dober bend andreja karola val slovenski prvak alter countryje logatca letos izdati kratkometražen sinner zvok energija izjemen težek opisati treba doživet glasba otožen duša gibek bok obenem čas najbolj navdihovati otožen leaving lep video posnet kamnolom verd jura longyki izštekan val matija štrasner primorski country avtor izvajalec predstavljati avtorski skladba napisan angleski jezik slog sodoben ameriški countryje prilagojen ime matti strasner country glasben zgodba let pricel ameriski nashville snemanje grammyje nagrajen ekipa povabiti priznan producentka copelanda lanski uspeh singlo still arounda zel uspeh tuj nizozemski avstralija domac radijski postaja lestvica začetek jesen znova odpraviti nashville kjer posneti nov skladba uspeh singla kiss posneti video spot zacetek letosnji let izdati ready sin uspeh nasti svetoven country raditi postaja organizator zmkt center mlad koper,2020-02-21 20:30:00,122,551779861642881.0,2,Music
Café Evropa: pogovorni večer z Miho Šaleharjem,prost mesto dogodek zapolniti zahvaljevati razumevanje,2020-02-12 18:00:00,175,145358245626807.0,5,Other
Dan D,sobota zaključek kulturen drugače povedan dan dan oder patriot priti energičen novomeščan tomislava jovanovič tokaca glas kitara dušan obradinovič ober boben marka turka tuča kitara nikol sekulovič basa kitara boštjan grubar klaviatura let ustvarjati rockerski poetika postati slovenski klasikati peljati voda oblak počaaaas lov song plesati reklo svet čist drugače vrteti takrat sam pozitiven misel vstopnina predprodaja začeti patriot dan dogodek študentski študentski vstopnica lahek zagotoviti priložen potrdilo vpis študentski izkaznica vstopnica volja dan dogodek cena,2020-02-29 21:00:00,228,530615857048295.0,2,Music
Kvatropirci | Bohinjska Bistrica: Razprodano,koncert razprodan začetek let kvatropirec prvič podajati koncerten turneja slovenija večkrat nagrajen vokalen skupina festival melodija morje sonce vedno znova očarati publika kvaliteten izvedba pesem iskrenost karizma prepričjiv nastop fant oči publika veljati večen romantika imeti pripravljen lep dalmatinski skladba večen klasik oliver dragojević slovenski skladba opevati morje večer miniti hit deklica spomin živet dober dan dueta jan plestenjak pesem veter veti videti kvatropirec,2020-03-08 18:00:00,146,108338529194425.0,"2,6,16,55","Music,Concert,Kid Friendly,Pop music"
Ritem Balkana I Sobota 1.Februar I Čili Club,znan besedilo plesen ritem kratek kriti vedno prekratek noč slišati ritem balkan sobota čil bar club btca city murski sobota velik hit trenuten tresti glasben scena welcom drinka raki party pijača vstopnina miza gmailc miza potreben prevzet kasneje ura prostor poseben slaviti rojsten dan imeti obisk posloven partner prijatelj pripravljati poseben after party večerja sodelavec vip prostor strikten namenjen gost število omejen več infa poklicati piš gmailc oseba star let nahajati nakupovalen središče btca city msobota,2020-02-01 21:00:00,246,1461682140639867.0,"12,15,30,50","Dancing,Party,Nightlife,Dance music"
Slovenski kulturni praznik v Narodni galeriji,slovenski kulturen praznik februar vabiti ogled stalen zbirka občasen razstava obisk številen brezplačen dejavnost vstop prost galerija odprt ogled razstava srbski modernizem zbirka galerija srbski matica razstava zoran mušič let razstaven katalog stalen zbirka stalen razstava del zoran mušič program odrasel mlad kratek predstavitev umetnina motiv zoran mušič stalen razstava del zoran mušič zbiren mesto razstava trajanje minuta konjiček avtoportret krajina poslednji konjiček avtoportret konjiček krajina poslednji avtoportret konjiček poslednji velikost skupina posamezen vodstvo omejen obiskovalec čas kratek vodstvo samostojen ogled razstava mogoč kratek predstavitev izbran umetnina stalen zbirka stalen zbirka zbiren mesto posamezen umetnina stalen zbirka trajanje minuta hans georg geigra von geigerfelda jurje boj zmajati valentina metzinger poveličanje frančiški saleški marka pernharta panorama šmaren gora kareti rutharta boj medved lovski pes martin van meytens cesarica marija terezija franc jelovšek svet družina frančišek karel remba alegorij čast bogastvo franc kavčič fokion žena bogat jonka ivati kobilec poletje ivati grohar pomlad rihard jakopič spomin stan kregar predsmrten pesem ustvarjanje akada slikar začeti risati nadstropje vhoden avla koncert vokalen skupina bejazzy slavnosten dvorana trajanje mina zimzelen glasben dediščina dediščina evergreen dan volja izbran rekvizit slika lahek fotografirati fotografirati objava narodnagalerija nationalgalleryofslovenio program otrok družina mina družinski vodstvo mušičev konjiček stalen razstava del zoran mušič zbiren mesto vhoden avla cankarjev trajanje mina mina družinski vodstvo umetnina stalen zbirka zbiren mesto robbov vodnjak trajanje mina ustvarjalen delavnica dič dič dič galov soba predšolski otrok družina ustvarjalen delavnica konjiček vhoden avel nadstropje otrok let družina informacija trgovina ngslos,2020-02-08 10:00:00,287,134105093314759.0,25,Art
Jurčičev pohod 7.3.2020,dan iti jurčič pohod dobiti višnji gora štart cerkev zgoraj ljubljana oditi točen lahek dogovoriti iti manj avto parking pretek prijava samski pvt pošlihtati prevoz,2020-03-07 07:00:00,1424,115058735173181.0,32,Causes
"Predavanje: Andrej Gaspari, Neznano slovensko morje",razstava izginjajoč svet ohraniti morje vljuden vabiti naroden muzej slovenija metelkov maistrov ulica vhod ploščad muzejski predavanje andreja gaspari neznan slovenski morje podvoden kulturen dediščina morski dno luč arheološki raziskava predavanje rezultat podvoden arheološki raziskava slovenski teritorialen morje poudarek izbran spoznanje odkritje zadnji četrt stoletje organiziran poseg podrobneje predstavljen ostanek rimski pristanišče ribogojnica priobalen pas jernejev drag ankaran piranski zaliv razbitina ladja odprt morje pripadati različen obdobje antika konec doba jadrnica polovica stoletje predavatelj ozreti sled potopljen holocenski krajina potencial preučevanje prazgodovinski obljudenost območje transgresija morje izziv ohranjanje arheološki najdišče morski dno prednost interdisciplinaren sodelovanje raziskava potopljen kulturen dediščina integralen del naraven okolje predavatelj andreja gaspari univ dipti arheolog zaposlen visokošolski učitelj področje rimski arheologija filozofski fakulteta univerza ljubljana let sodelovati več arheološki izkopavanje najdišče slovenija tujina pomemben raziskava ostanek antičen emona območje nuk šum večperioden najdišče mariborski cesta celj avtor več znanstven strokoven del področje arheologija pozen prazgodovina zgodnjerimski obdobje praven varstvo kulturen dediščina antičen ladjedelništvo podvoden raziskava več let intenziven posvečati raziskava podvoden najdišče celinski voda morski akvatorij sodelovati vrsta mednaroden projekt let član mednaroden komisija icuch internationala committe underwater culturati heritaga mandati član znanstven tehničen svetovalen telo konvencija unesca varovanje podvoden kulturen dediščina udeležba predavanje brezplačen razstava,2020-02-11 17:00:00,319,3026449710700492.0,5,Other
"Veganstvo DIY: Delavnice, debata in večerja",dogajanje delavnica šivanje recikliran blag tisk otroški delavnica izdelava prsten lutka diskusija vloga nečloveški žival družba specizem veganstvo kuharski delavnica mleko teliček rastlinski mleko fermentiran siren namaz večerja veganski kebaba cel čas dogodek potekati izmenjevalnica seme sadik izmenjevalnica oblačilo uporaben predmet opis delavnica spodaj prirejati dogodek sklop medsebojen izmenjava diy narediti sam kultura dogodek temeljiti medsebojen izmenjava znanje predmet dobrina povezovanje dogodek namenjen osveščanje veganstvo antispecizem nečloveški žival človek del družba zaslužiti živet dostojen svoboden življenje trenuten družba ospredje kapital nadvlada posledica izčrpavanje naraven surovina pobijanje izkoriščanje nečloveški žival privatizacija skupen okolje pregon pobijanje ljudstvo uničevanje narava globalen segrevanje izkoriščanje delavkec vojen profit peščica človek meniti povezovanje grajenje skupnost temelj enakost medsebojen izmenjava zelo pomemben prihodnost opis delavnica kuharski delavnica kuharski delavnica pripraviti degustirati domač rastlinski mleko fermentiran veganski siren namaz ekološki lokalen orešček stročnica seme pogovarjale etičen okoljski zdravstven prednost rastlinski polnovreden prehrana kje izbirati kakovosten ugoden sestavina pogovorile alternativa mlečen izdelek neskončen zmožnost ustvarjanje okusen preprost veganski dobrota veganski skut veganski sir mozzarell cheddar nacha camembert delavnica šivanje recikliran blag šiviljski delavnica šivati povšter vrečka večkraten uporaba ipd izdelek sešiti ostanek blag delavnica spodbudile reciklaž plastika papir blag imeti dom odvečen majica hlače prinesti skupaj sešile uporaben sešiti izdelek možen tiskati slogan ozaveščati veganstvo otroški delavnica izdelava prsten lutka otroški delavnica izdelovati prsten lutka oblika živalca odpaden blag volja knjigica pripovedovati žival zgodba nikin prijazen vas diskusija vloga nečloveški žival družba specizem veganstvo diskusija namenjen razumevanje odnos imeti človek ostal žival vloga nečloveški žival današnji družba skušale razumeti specizem vpliv družba pogovarjale veganstvo pomemben nerazumljen kdaj agresiven del delavnica namenjen odgovarjanje vprašanje glede omenjen tematika prost diskusija izmenjevalnica oblačilo uporaben izmenjavalnica ponuditi alternativa kapitalističen princip ekonomija izkoriščevalski netrajnosten nedostopen prinesti odnesti vseeno prositi prinašati prevelik količina izmenjevalnica seme sadik ponuditi alternativa nakupovanje korporacijski seme spodbuditi človek sajenje pridelovanje hrana rastlina okenski polica balkon prinesti seme sadik izmenjati,2020-02-20 17:00:00,158,551779861642881.0,"16,32,245,246","Kid Friendly,Causes,Vegan,Animal rights"
Otvoritev #dvoranaSLOfilma,kolosej ljubljana odpirati vrata slovenski filmski ustvarjalec projekt namenjati dvorana slovenski film vzpostavitev dvorana slovenski film širiti filmski kultura povečati dostopnost domač film pomembnost slovenski film domač tla otvoritev dvorana slovenski film četrtek februar let mogoč ponoven ogledati kulten komediti jebig slovenski komedij jebig let vrač slovenski kinematograf prenovljen digitaliziran verzija film star nov generacija jebig komedij minuta scenarija režija mih hočevar igrati mateja družnik marka miladinović gorazda obersneti david furlan jura sotler vasten valič damijan škafar polona juha karmen rupnik hvalica skupina fantov preživljati poletje ljubljana kjer vlada splošen pomanjkanje pomanjkanje denar alkohol drog ljubezen seks ogrožati nenaklonjenost okolje sreča težava zdeti hud zabaven zaplet preplet večina srečen razplet starati film,2020-02-06 20:00:00,150,104823481059241.0,36,Film
"Igorjev pohod ""Od kala do kala""",svetoven dan mokrišče plisk mladinski pliskovica vabiti tradicionalen igor pohod kati kati nedelja februar ura zboren mesto pliskovica latnik evropski prijateljstvo dolžina pohod ura pohod poimenovan ustanovitelj igorje maher biolog raziskovalec fotograf publicist gornik motivator voden pohod speljan krožen pliskovica povezati kal pomemben površinski voden ekosistem kras nezahteven pot primeren pohodnik starost družina otrok konec pohod sled pogostitev spomin igor obujati okrogel miza igorjev dediščina včeraj jutro nedelja februar ura lokacija pliskovica mladinski pliskovica beseda dan igorjev prijatelj znanec soustvarjalec bogat življenjski mozaik moderator srečanje vodja pohod bogdan macarola,2020-02-02 10:00:00,216,2832583863467216.0,5,Other
