naziv,opis,datum_od,stevilo,sifra_prizorisca,cluster,center_distance
"K4x4 w/ Blawan (Ternesc, VOAM / UK)",april lahek mesec vrag odnesti šala klet prihajati najbolj razvpit suveren techen ime zadnji desetletje jamio roberts pečat najprej pustiti britanski bass scena podrgniti nalomljen šamar nalezljiv vokalen sempel čvrst techen noga jamiejev edin nastop ljubljana miniti let mali več ponarodel hitič why they hiti their bodies under garag poskrbeti zborovski petje publika festival domač klubovje let izviren producent cel večnost jamio vmes premakniti analogn močvirje zapreti strog techen matrica modularen studijski prenoviti zvok pot postati hipnotičen techen stroj škorenj polirati lasten založba ternesce kjer nedaven dolgometražec wet will always dry razstreliti techen temelj ruševina pardon palača prefinjen udrihanje blawan popuščati dje pult kjer bič pomemben festival luknja obenem imeti čas analogno duet karenn kolega pariaha trada vzornik surgeon april techen vizija steroid vzeti čas velik floor lineup maina blawan ternesce voa minda machines liv schrauff elements bar evan all nighter vje klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec dan dogodek infa infa garderoba lost founda gmailc,2020-04-10 23:00:00,1112,126700024052347,6,0.048583790233514765
Tour de Bar: Vseštudentsko pustovanje 25.2 Cvetličarna,toura dejati bar spoznavanje nov človek druženje prijatelj unikaten energija lahek nastati odštekan skupina več človek kup kdaj pusten torek kje kongresen trg direkt sredin kdaj zbor štarta cena vključen voden tur vodič animator vstopnina welcom shota bar hud pivski igra nagraden igra collegium mondial travel prevoz center bežigrad vstopnica volja prodaja karta karta prodajen mesto viba events promotor fakulteta obraz mfa avla mfa fakulteta šport difa avla fti cena vstopnica promotor cena prodajen mesto karta dan dogodek vstop mesto omejen,2020-02-25 21:30:00,655,107246437510750,6,0.036831385568889194
"PURE Oldies Goldies ★ Valentine's Day | Cvetličarna, 14. Februar",pura oldies goldies valentina day petek februar directed dje shift special guests paola barbat alex donati warm devious aga limiti infa miza pura tantums vstopnina mesto event petrola dan dogodek blagajna klub dalja vstop vstopnica omogočati vstop vrsta število vstopnica omejen,2020-02-14 23:00:00,802,43956324012,5,0.04417779245836825
Proslava ob dnevu zmage in 75. obletnici osvoboditve,vabiti ogled spleten proslava dan zmaga obletnica osvoboditev potekati facebook profil petek maj ura slavnosten govornik predsednik zveza združenje borec vrednota noba slovenija tovariš marijan križman program slovesnost oblikovan prvič predstavljen arhivski posnetek udeležba slovenski partizanov obletnica izkrcanje zaveznik normandija vljuden vabiti zmaga svoboda slovenija,2020-05-08 20:00:00,1002,148241421989108,0,0.06834347534379451
Jurčičev pohod 7.3.2020,dan iti jurčič pohod dobiti višnji gora štart cerkev zgoraj ljubljana oditi točen lahek dogovoriti iti manj avto parking pretek prijava pvt pošlihtati prevoz,2020-03-07 07:00:00,1379,115058735173181,0,0.01718574723606507
"Večer s Sanelo Banović, dr. med",februar ura prisrčen vabiti pridružiti brezplačnen predavanje avla dom slovenski tabor žalec gostja saneti banović spomniti strupen beseda zastrupljati odnos spomniti moč objem spomniti prepogost preskromen dajanje kompliment včasih znati sprejet spomniti živeti življenje zdaj prisrčen vabiti,2020-02-26 18:00:00,1259,444784815579359,0,0.04448933759053683
Litijski karneval 22.2.2020 - ČUKI + Challe Salle,litijski karnevati letos priti čuk litijski karnevati več leten tradicija soboten program februar živ žava super kriti dvorana litij infa mca litij litijski karnevati mesto litij infa turističen društvo litij točen zaključen prireditev karnevalski povorek alex volaska dvorana litij čuk challe salle dje berny whit dvorana litij infa wak events ostal prireditev pusten razstava litija nebo mesten muzej litij litijan veseljak občina litij februar debel četrtek februar tekmovanje pusten krofa valvazor trg tica litij prevzem pusten oblast mama manek dan gregorce elvis show valvazor trg pusten torek februar pravljičen pust litijski knjižnica otroški pusten karnevati dvorana litij pepelničen sreda februar pečen postrv ribiški dom pokop pust šmelca litij parkirišče tematika karnevati litij airways prijava skupina karnevati turisticnodlitij gmailc matej štefereti prireditev brezplačen vstop prireditev čuk polnoč možen spremstvo starš oza zakonit skrbnik vstop prireditev primeren starosten skupina več informacija fba litijski karnevati tica litij infa visitlitijasa organizator občina litij sodelovanje zkmti litij wak events turističen društvo litij turističen zveza slovenija,2020-02-22 10:00:00,795,1410484415869371,0,0.04337000185078167
"Festival Malvazija, žlahtni okus Mediterana 2020",festival malvazija žlahten okus mediteran marec več malvazija več vinar država sla hrv iti vinski delavnica sončen portorož slovenija lifeclass podroben seznam vinar društvo slovenski ister vaba festival malvazija žlahten okus mediteran več malvazija lahek družiti nedelja marec kongresen center portoroški slovenija vstopnina ever prejeti kozarec več infa fba stran društvo slovenski ister lahek pisati privati sporočilo sloven inviti ati festival malvasio gust raffinat del sieta invitati trascorra del tempo companio dell pio varietà malvasio domenica lunedì marza entrat eura kjedov kongresen center portus slovenija portorožcenter congress portus slovenija portorosa obiskovalec festival malvazija hotel lifeclass spa portorož volja ugoden namestitven paketa spa storitev več per visitator del festival malvasio lifeclass spa portorož offrona pacchett soggioren prezza maggior,2020-03-01 15:00:00,1165,186049424765001,0,0.04528798923987125
"Balkan Hits | Klinac I @Top Six Club (Petek, 31.1.)",petek premieren klub top six prihajati klinaca slišati hit praviti sumraksvetel nemati mir korak ispred molitev vip paketa vip miza boati vstopnica možen kupiti vhod klub ura dalja vstopnina,2020-01-31 23:00:00,787,331835760245003,1,0.038415292190631736
"Primorska fešta/ 20.2.2020/ Cirkus, Ljubljana",primorski fešti cirkus letos študentski klub primorski regija pripravljati fešta primorski fešt letos predpordajati vstopnica sistem dalja early bird vstopnica paketa naslednio vstopnica paketa nasleden vstopnica prodajen mesto sistem karta karta predprodaja lahek vstopiti cirkus ura organizator primorski fešta ljubljana primorski študentski klub kgti kati kiti ktti kšs kšop kšok kišd kšopp kšib kzti lahek enkrat rodilo najraje primorec primorski fešta šprica piti primorcismonorec mon dejšprica starosten omejitev organizator pridrževati pravica sprememba program odpoved dogodek,2020-02-20 11:00:00,1083,237302949627686,6,0.046939727770181114
11. Kongres Misli na srce: Transplantacije in transfuzija,projekt misel srce letos organizirati kongres bolj podroben poglobiti tematika transplantacija transfuzija kongres popoldan slišati predavanje strokovnjakov področje kongres namenjen študent absolvent diplomant prijava odpreti sreda eobrazec objavljen stran dogodek število prijava omejen spremljati dogodek ostal obvestiti nagraden igra,2020-03-05 16:00:00,560,1104667533058410,0,0.01020688139241385
Guns N' Roses - Real tribute,sklop red bikerfest oder nastopiti guns roses real tribut banda jailbreak besti europiti koper prihajati velik guns roses real tribut banda imeti turneja koncert indija brazilija tunis malta evropa ostal predel svet pevec alex imeti popolnoma barva glas axti rosa dober let vrač fen guns roses dober čas bend obet nepozaben koncert pravi glasben oboževalec guns roses ljubitelj glasben izvedba živ del glasben spektakel dolg pomniti zato vabiti sobota april red snacka bar nepozaben koncert dober guns roses real tribut banda evropa svet vstop prost,2020-04-25 23:00:00,1045,144501068991113,4,0.0683594604000137
K4x4 w/ The Ghost (UK),voznik najbolj razvpit potujoč ploščaren berlin februar zaviti kersnikov gost nahajpan dje ghost james creed jos tweek več let hupati vinilen bus krožiti berlin mesečen vozovnica linija uporabljati fotra zip ghost mesto znan nabit večer rejverski ladja hoppetoss skrben izbran vinilen kovček voditi desetletje hous tehen elekter godba seti pripeljati festival tik nastop štirka celovečerec londonski fabric dvojec ghost velik floor uvesti mayell manjkati izkušnja nemški klub robert johnson bar evropski giga podkovan nikolati moara bazen ghost mayell luckison bar nikolati moara klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec olaiic dan dogodek infa infa garderoba lost founda gmailc,2020-02-21 23:00:00,562,126700024052347,5,0.07160613166249019
Pustovanje 2020,mlad povedati pust hrust najti kostum sešiti sestaviti ustvariti letošnji maškara približevati pusten torek padel februar vrhnika pustovati pusten nedelja februar letošnji rajanje potekati dvorana anton martin slomški suh topel ura vedeti ribič pep dober prijatelj ptič kakadud loviti lisjak foksner najti zaklad skupaj plesati prepevati poznan skladba foksner iti morje lačen gusar kakad hozntregar iti svet lumpa kavbijec indijanec pusten rajanje popestriti žabica plesen šola urški mažoretka vrhnika spremstvo pihalen orkestra vrhnika lahek prepustiti poslikav obraz potekati izbor maska krofa simbol pustovanje poskrbeti leo klub vrhnika vstop prost visitvrhnika,2020-02-23 15:00:00,503,249529702079926,0,0.04556362224080691
36. Druga godba 2020,lanski obletnica festival programski močen vpeti evropski projekt jazz connectiva godba vrač običajen tirnica mnog zvest obiskovalec prepoznati retra zasuk koncept programski konvencionalnost izstopajoč ime zaznamovati program festival zlat let ponudba glasba svet začiniti ime cesario evor yousso ndoura khaled mariz mnog neizmeren vesel lahek letos družba fatoumati diawar nedvomen vodilen nov generacija glasbenikov afrika prisoten festival koncerten prizorišče godba žanrski povsem neomejen tovrsten glasbenik ponujati možnost lasten izbira celoten program npr nastop fatoumati diawara referenčen festival guess wha letošnji godba prvič ponujati petje ruski republika burjatija litev afganistan plesen afrokaribski champet kolumbi slovenski pevka delo zaznamovati domač scena zadnji desetletje tradicija festival ostal neokrnjen upreti ponoven povabilo sijajen sílvio pérez cruz predstavitev trenuten dober balkanski brass banda mladec francija mnog spomniti izjemen nastop còr dejati plan naslednji teden program razširjen izvajalec atraktiven program pogovor delavnica nov koncerten predstava otrok pripravljati skupaj vodnikov domačija prepričan program vsebinski geografski raznolikost obseg točen lahek privoščiti ljubitelj glasba deliti radovednost ljubljana maribor programski odbor festival godba bogdan benigar nada čorović irati kolbezen maaik wuyts sreda maj cankar dom sílvio pérez cruz san salvador musiqu četrtek maj vodnikov domačija losbulldozero kino šiški fatoumati diawar kino šiški petek maj cankar dom christina abdelnoura andy moor uršuti ramuti fant jazbecov grapa kefay elah soroor sobota maj lutkoven gledališče maribor zvezdan novakovica zven gostja dzamba agusev orchestra,2020-05-13 20:00:00,870,202855746590308,4,0.0780302888971284
?? / ???????? ???????? / 29.02. / Vstopnine Ni,veselica sobota klub pivnica nov generacija letos februar obstajati poseben trenutek zgoditi let zato večer zabavati vstopnina sorta punca lepota imeti dan dogodek teden ponedeljek sobota rojsten dan praznovati dobiti steklenica identifikacija oseben dokument možnost predhoden rezervacija miza dogodek poseben mesto praznovati rojsten dan dekliščina fantovščina družba pisati rezervirati fba privati sporočilo rezervirati prevoz prelesje šentrupert slovenija,2020-02-29 21:00:00,616,139371466073168,6,0.08515375293778453
Veselica: Zvita Feltna in Urban Vidmar,kška charel pripravljati najbolj nor noč daleč hum letos vračati edin zvit felten edinstven urban vidmar skupaj bend narediti noč nepozaben dogodek povezovati dje jacobsen priti skupaj podoživeti lanski prekrokan zabava kdaj marec kje dvorana hum vstopnica kmalu predprodaja starosten omejitev,2020-03-28 21:30:00,619,109049862457101,6,0.07806031225385435
K4 Roza: Taste of Berlin,močen priokus berlinski klubski scena kvirovski energija ponoven vstopati klet kersnikov mešalen pult zvrstiti berlinski ady toledan touché aminus ljubljanski holomonda ponoven združevati praviti združen večer preplet plesen svet srce biti mali floor prihajati ljubljenec berlinski klub ady toledan touché ady toledan kariera začeti teti aviv znan žanr ustvarjati nov zgodba kmalu postati stalnica znan berlinski klub partija tresor abouti blanka cocktaiti damoči riot anda carry nation nyca touché dje dogodek lastnik zloglasen kvirovski klub sounds rip razkošen miks vokalen hous poživljajoč disk osvežiti plesišče mnog razvpit klub wilda renat schwuz sodelovati dogodek trashera brenen rezident domač studio francoskoberlinski šarm dober mera electer pop velik floor postreči aminus ustanoven član danceclas skupina platea repas bivši bobnar bend evvol pravkar izdati sola album dumbaiti pop glasben rušiti ljubljanski holomonda bar ady toledan touché arena aminus holomonda vje klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec infa infa garderoba lost founda gmailc društvo škuca,2020-02-29 23:00:00,650,126700024052347,5,0.09018226062281809
"Motozbor z blagoslovom, MK Packenstein, Šmartno ob Paki",binkošten motopraznik savinjski šaleški dolina nedeljski srečanje motoristov blagoslov bogat program zabaven igra srečolov dober ansambel hrana pijača zbor motoristov panoramski vožnja moto igra blagoslov motor zbran zabava shadows play bobnar marka gost blagoslov popestriti ponudba številen razstavljalec motooprema yog racer heliti nolan sts smarta turna sistems zbor začetek prireditev ura dalja vabiti motorist mopedist motoveteran ljubitelj starodoben vozilo firbec takrat imeti pameten primer slab vreme prireditev sobota april srečanje moč podpreti občina šmarten paka mladinski center šmarten paka sponzor donator predstavljen sam prireditev,2020-05-31 09:00:00,696,1600875000164422,2,0.061963074700336525
"Mura - Maribor, 22. krog PLTS",tekma let fazanerija takoj derba krog liga telek slovenija mura februar pomeriti nka maribor vstopnica prodaja glaven tribuna ever ostal tribuna ever otroški vstopnica evreti vip ever fazanerija,2020-02-26 17:00:00,1600,277845136174508,6,0.051776509867565046
"Dan žena in Dan mučenikov ► Mambo Kings, Domenica, Tomy Vertigo",pomladen žura gostilna jap dan žena dan mamba kings domenica tomy vertiga sobota domenica nem svit cirib cirib videti avion mamba kings balerin romeo julij shak,2020-03-14 21:00:00,758,671736182881527,2,0.06695302566260086
Predavanje dr. Sanele Banović - ˝Dobra beseda in topel objem˝,saneti banović zdravnica gaster enterološki oddelek ljubljanski kliničen center navduševati motivacijski predavanje enostaven način pojasniti sprememba način razmišljanje vpliv kvaliteta življenje spodbuditi življenje vnesti več pogum smeh ljubezen dotik objem modrost znanje poštenost skromnost govoriti notranji zunanji komunikacija vplivati razvoj možgani socialnokognitiven sposobnost pomen naučen komunikacija otroštvo proces razvoj možgani najbolj aktiven tar telo fiziološki reagirati motnja notranji komunikacija,2020-03-09 18:00:00,665,199231520118052,0,0.01651242719243579
Joshua Redman Quartet // 18|3 // Musicology Barcaffe Sessions,ljubljana sklop serija koncert musicology barcaff sessions slovenija sodelovanje cankarjev dom prihajati najbolj znan najbolj karizmatičen umetnik srednji joshu redman kvartet linhart dvorana cankarjev dom nastopiti marec ura zasedba joshu redman saksofon aaron goldberg klavir reuben rogers basa gregory boben redman sin deweyje redman plesalka rene shedroff zato mali srkati vpliv različen glasben žanr let glasben popotovanje začeti klarinet potem tenorski saksofon izpustiti danes rubrika glasben vpliv našteti ime john coltran ornetti colemen adderley areth franklina earth winda anda fir beatles princ polica led zeppelin oče deweyje redman študij znajti new york kjer globok zabresti tamkajšnji jazzovski scena kmalu poseči mednaroden nagrada monek let slediti pogodba založba warner brosa izdaja prvenec nominiran nagrada grammy slediti album spiriti moment freed groov timeless tales for changing times glasben scena zasidrati uspešen jazzist dodati sopranski altovski saksofon danes izdati album uveljaviti glasben založba warner brosa nonesuch sodelovati ime king bill frisell marcus miller rolling stones herbio hancocka stevio wonder zavihteti neštet top list glasben časopis portal trikrat nominiran najprestižen nagrada grammy vstopnica naprodaja središče cankarjev dom pooblaščen prodajalec eura dan koncert eura,2020-03-18 20:00:00,626,1573580226230353,4,0.029628145125955963
Resslov festival piva,craft pivo veslanje igra sonce druženje krek hrana dje koncert možnost kampiranje videti kostanjevica,2019-08-03 14:00:00,725,555553107955354,0,0.02579053008475179
10.obletnica salse v Sputniku,drag plesen navdušenec vabiti pridružiti velik zabava obletnica sals sputnik pripravljati plesišče sals kizomba bachati plesišče več vrhunski glasba skrbeti top djje dje panchit sals floor dje goffy kizomba floor dje rocca loca bachati floor vstopnina eura kdaj petek sava dati veseliti obisk kavarna sputnik youra djs,2020-03-06 21:00:00,514,103727819702351,6,0.07178479276284422
Zbudi me za 1. maj! - Zalog pri Cerkljah,velik žura gorenjski program april pop design maj zvit felten lokacija zaloga cerklje šotor osnoven šola zbuditi maj velik najbolj vroč žurerski dogodek maj gorenjski letos pozabiti odličen zabava praznik del pester program letos zabava poskrbeti pop design nebo tla ostati odhajati zvit felten ginin tonica edin kraljica,2020-04-30 20:00:00,1062,2563769070514685,2,0.036975603191991925
Zvita Feltna / Veliki vseštudentski žur / TOP SIX / Prestavljeno,sporočiti dogodek prestavljen nov izreden uredba nadaljnji prepovedovati obratovanje gostinski lokal klub nov datum sporočiti kmalu trenuten datum dati sreda dogodek izbrisati točen datum sporočiti velik priti pustiti going interested dogodek popraviti datum tekoč kdaj prestavljen datum potrditi dogodek sodelovati nagraden igra vstopnica dober zabava top six manjkati ponoven pripravljati nepozaben žura govorilo dolg sreda prihajati top six club zvit felten obet nepozaben žura prodaja karta možen ponedeljek fakulteta strojništvo aškerčev strojniks šofs soba jedilnica olaiic bencinski serviseti omv trafik možen rezervacija miza cena rezervacija velik boati mali brezalkoholen pijača eura potreben vstop posebati kupiti karta videti rezervacija miza teti študentski organizacija fakulteta strojništvo šofs strojniks,2020-05-13 23:00:00,629,331835760245003,5,0.06781518540152125
Dr. Jorge Bucay - Predavanje je razprodano,jorg bucay rodilo let buenos aires kjer diplomirati medicina specializirati duševen bolezen psihiater psihoterapevt delati več bolnišnica ordinacija predavati gostovati radijski oddaja imeti lasten oddaja televizija zadnji let čas posvečati branje pisanje predavanje družina prijatelj knjiga preveden jezik bolje prodajan več dežela svet avtor ponekod svet latinski amerika predavanje poln stadion pravi superzvezdnik živ malaga španija buenos aires argentina argentinski pisatelj psihoterapevt skušati živet svetovati knjiga predavanje skupen izdati knjiga slovenija doslej izšel povedati zgodba ljubiti odprt oči zgodba razmislek povedati zgodba žalosten zgodba knjiga zbirka kažipot pot samoodvisnost pot srečanje pot solza pot sreča lep pravljica bolje spoznati velik uspešnica obisk pogovor slovenija let očarati bralec lahek lasten oči uho prepričati zelo poseben prisrčen mož let ponoven vrač slovenija rojen pripovedovalec zgodba svet bolj priznavati vloga pionir področje zdravljenje pripovedovanje uspeh žeti svet plod številen različen vpliv podjetniški znanje trd del knjiga odsev izjemen modrost pridobiti proučevanje svetoven tradicija pripovedovanje zgodba lasten izkušnja dolgoleten delo pacient predavanje potekati angleški jezik zgodba poslušati španski jezik prevod poskrbljen cankar dom linhart dvorana vstopnica eura vstopnica naprodaja blagajna cankarjev dom prodajen mesto tica turističen informacijski center kompas poslovalnica petrola bencinski serviseti omv bencinski serviseti mult točka alpetoura turističen poslovalnica kioski delo prodaja mholidays poslovalnica organizirati mladinski knjiga sodelovanje cankarjev dom partner dogodek krati,2019-09-13 19:00:00,2153,1091661721036251,4,0.05017656514956684
Študentsko pustovanje v Rožni dolini,drag šema pusten maska maškara srce pust zima začeti študent pripravljen odgnati izpiten skrb zato letos koledar zmeniti pust izpiten obdobje pusten norčija odpreti vrata pomlad avstralija pogasiti požar princ harry imeti več kraljev dolžnost luk dončić podirati rekorda uren postavka študentski delo povečati študentski pustovanje rožen dolina vedno ostajati zbrati prijatelj izbrati dober kostum pridružiti torek tradicionalen študentski pustovanje rožen dolina vreme prignati skupina calypsa melos študentskopustovanje maska rajanje zabava,2020-02-25 17:00:00,3011,1778490598947957,0,0.0536416481726332
32. Pohod po Naglelj na Limbarsko goro,vabiti tradicionalen pohod nagelj limbarski gora,2020-03-29 08:00:00,1927,2773336209409301,2,0.03999066839760634
"Knauf w/ UVB (Body Theory, MORD / FR)",francoz mojster rogljiček baget nesramen motiti kolektiv knauf iztek februar protagonist žura demonstrirati zmota sébastien michel moniker uvba prvič konkreten opozorilo izdaja rotterdamski založba mord kjer podaljšan singlo whati vedeti learned izdati komad mixtion štikl postati nesporen himna let zavedati sam manj pričakovati hitič znajti arzenal težkokategornik deti marcela dettmann itn festivalski uvbaget celota kroj kariera posebej produkcijski nota trd izboljšati industrijski keroziti tek pobrejkan frekvenčen uničujoč udaren kladivo mesto najti lasten založba imenovan body theory destruktiven potencial prepoznati dax slednji požegnati izdaja založba monn blacka velik gurman zgražati degustacija delikatesen polž poznavalec techen milje sliniti izkustvo glasben sladica uvbje mercator baget uvba popoln francoski okupacija nasprotovati stalen knauf montažer sestava tritch rsn shekuza lina rica zenica poigrati stenski poslikava auf uvba body theory mord shekuza rsn tritch vje lina rica klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec dan dogodek predprodaja olaiic infa infa garderoba lost founda gmailc,2020-02-28 23:00:00,573,126700024052347,6,0.04731104322133822
TrNOVfest - Rambo Amadeus and Five Winnetous & Le Serpentine,trnovfesti petek avgust ramba amadeus anda fiv winnetous serpentina dneven trnovfesti vstopnica mesečen trnovfesti vstopnica dan tedenski trnovfesti vstopnica dan kupec vstopnica predprodaja prejeti brezplačen pijača dan festival trnovfesti izžrebati lahek cel dan preživel glasben izvajalec paket meet anda greet trnovfesti akcija program festival videti trnovfest uraden povezava,2019-08-02 18:00:00,1682,717882301739945,0,0.06442376049044604
Dejan Vunjak s skupino in DJ Johny,petek večeren žura poskrbeti dejan vunjak skupina dje johny velik šotor uživati dober glasba nor plesati vstopnina,2020-04-03 20:00:00,1255,129002367674177,2,0.06316145502565486
Koncert MI2,več informacija kmalu vstopnica volja event,2020-05-16 20:00:00,1228,1603294739885167,6,0.07960236113790208
BABJI ŽUR,obet koncert let luka basijati jolet davor borno brusniški arena vstop dekle žena mamica babica,2020-02-29 19:30:00,1880,10158006962753748,4,0.0685044763950063
Darko Lazić PURE Valentinovo 14.2.,velik zmagovalec show zvezda granda let poskrbeti nepozaben valentinov club pura prihajati edin darka lazić vstopnina vip rezervacija miza rezervacija pureljubljanac pura club ljubljana cesta ljubljanski brigada šiški ljubljana slovenio informacija infa pureljubljanac,2020-02-14 22:00:00,805,445713185468708,1,0.037375814290101526
