naziv,opis,datum_od,stevilo,sifra_prizorisca
Velika pustna zabava s Kingstoni in Vilijem Resnikom na Viru,"Brez sobotne pustne zabave v času pusta ne gre, za to tudi letos ne bo nič drugače ??
Lepo vabljeni na veliko pustovanje s skupino Kingston in Vilijem Resnikom na Vir pri Domžalah‼️

? POZOR‼️Najbolj izvirne skupinske in individualne maske bodo bogato nagrajene?

Cena vstopnice na dan dogodka znaša 7€, v predprodaji pa bo cena vstopnice znašala 6€ ❗️?
V predprodaji jih dobite v baru Don Juan na Viru (Šaranovičeva cesta 30, 1230 Domžale) 

Skupina Kingston iz Idrije je ena najbolj priljubljenih slovenskih glasbenih skupin, vsekakor pa tista, ki da poseben pečat vsaki pravi zabavi. Pozitivna energija, izjemna karizma na odru, kakovost izvedbe glasbe in uspešnica za uspešnico so glavne karakteristike, ki Kingstone držijo v samem vrhu. Za sabo imajo lepo število hitov, ki jih niti ne štejejo več, brez pretiravanja pa lahko zatrdimo, da vsaka skladba, ki pride izpod njihovega glasbenega peresa, postane uspešnica. 

Vili Resnik se je z glasbo začel ukvarjati v 5. razredu osnovne šole, ko se je odločil, da bo postal kitarist. V nadaljevanju je sodeloval v nekaj rockovskih skupinah, v katerih je igral in pel: Herbie, Junaki nočne kronike, Pomaranča, Yunk, Spin. S skupino Pop design pa je pričel sodelovati novembra 1989, njihovo sodelovanje pa zaključil s pesmijo Potepuh leta 1995. 

Se vidimo‼️??",2020-02-22 20:00:00,835,388042060566
Prvomajski Žur // Raubarji // Zvita feltna // ROVN,"Po prvem snegu, prvih izpitih in prvih zvončkih so začeli čivkati tudi prvi ptički, kar lahko pomeni le eno - bliža se Prvi maj! 
In seveda čas za:
?NAJBOLJŠI  PRVOMAJSKI ŽUR GORENJSKE!!?

?KDAJ in KAJ? 
➡petek, 24. april: Raubarji
➡sobota, 25. april: Zvita Feltna

?KJE? Športni park ROVN
Prireditev POD ŠOTORI bo potekala v vsakem vremenu☀️☁️☔❄️?

Zagotovi si vstopnico v predprodaji in si tako zagotovi vstop mimovrste po najboljši ceni ?
?➡Vstopnice so že na voljo, zato čimprej po svojo.
- iz naslonjača preko http://bit.ly/PRVOMAJSKI
- prodajna mesta Olaii (OMV & TRAFIKE 3DVA)


➡️ Starostna omejitev

Dogodek lahko obiščejo tudi mladoletne osebe, z nakupom vstopnice pa starši oziroma skrbniki prevzamejo vso odgovornost.

Zakon o varstvu javnega reda in miru (ZJRM-1) v 21. členu zakon določa, da je med 00.00 in 05.00 osebam, mlajšim od 16 let, prepovedan vstop in zadrževanje brez spremstva staršev, rejnikov ali skrbnikov v gostinskih obratih in na prireditvah, kjer se točijo alkoholne pijače.

",2020-04-24 20:30:00,879,102773803267
"K4x4 w/ Blawan (Ternesc, VOAM / UK)","
Prvega aprila še lahko duhovičite, desetega v mesecu pa bo vrag odnesel šalo. V klet prihaja eno najbolj razvpitih in suverenih techno imen zadnjega desetletja!

Jamie Roberts je neizbrisen pečat najprej pustil na britanski bass sceni, ko je neusmiljeno podrgnil nalomljene perkusivne šamarje, nalezljive vokalne semple ter čvrsto techno nogo. Od Jamiejevega legendarnega in edinega nastopa v Ljubljani je minilo že 7 let,  še malo več pa od njegovega ponarodelega hitiča Why They Hide Their Bodies Under My Garage, ki je poskrbel za zborovsko petje publike tako na festivalih kot v domačem klubovju. A sedem let je pri tako izvirnemu producentu cela večnost. Jamie se je vmes premaknil v analogna močvirja in zaprl v strogo techno matrico. S svojim modularnim studijskim laboratorijem je prenovil svoj zvok ter na poti postal nesumiljen in hipnotičen techno stroj. Svoj producentski škorenj polira predvsem na lastni založbi Ternesc, kjer je nedavno z dolgometražcem Wet Will Always Dry razstrelil techno temelje in iz ruševin skonstruiral čistunsko amfetaminsko, pardon, minimalistično palačo. 

Ob prefinjenem producentskem udrihanju Blawan ne popušča niti za DJ pulti, kjer biča vse pomembnejše elektrončkarske festivale in luknje, obenem pa ima čas še za analogno vijačenje v duetu Karenn s kolegom Pariaho in kot Trade z vzornikom Surgeonom. 10. aprila si bo s svojo destilirano techno vizijo na steroidih vzel čas tudi za velik floor K4. 


Lineup:

Main: 
Blawan (Ternesc, VOAM), UK
Mind Machines LIVE! (Sigma5)
Schrauff Elements

Bar: 
Evano (phi) - all nighter

VJ: 5237

- - - - - - - - - -
KLUB K4
Kersnikova 4, Ljubljana
www.klub-k4.si // www.facebook.com/klubk4

STAROSTNA OMEJITEV / AGE LIMIT: 18+

VSTOPNINA / ENTRANCE FEE:
E̵a̵r̵l̵y̵ ̵B̵i̵r̵d̵ ̵:̵ ̵1̵0̵€̵ ̵
1̵.̵ ̵P̵r̵e̵d̵p̵r̵o̵d̵a̵j̵a̵ ̵:̵ ̵1̵2̵€̵
2. Predprodaja : 14€
Na dan dogodka : 15€
Bit.ly/K4-Blawan


INFO: info@klub-k4.si
GARDEROBA / LOST & FOUND
k4garderoba@gmail.com
",2020-04-10 23:00:00,1112,126700024052347
Tour de Bar: Vseštudentsko pustovanje 25.2 Cvetličarna,"Prvi Tour de Bar je tu! ?
Spoznavanje novih ljudi, druženje s prijatelji in unikatna energija, ki lahko nastane le v odštekani skupini 50 in več ljudi na kupu! ?

Kdaj? Pustni torek, 25.2. ?
Kje? Kongresni trg, direkt na sredini! ?
Kdaj? Zbor 21:00, štart 21:30 ?

V ceno vključeno ?
- vodena tura po LJ (vodič + animatorji)
- vstopnina za VseŠtudentsko Pustovanje
- welcome shot v vsakem baru
- hude pivske igre 
- nagradne igre (Collegium Mondial Travel + ?)
- prevoz iz centra do Bežigrada

Vstopnice bodo na voljo od 6.2 ❗️
Prodaja kart:
- Moje karte (prodajna mesta: https://tinyurl.com/y85tqjvp)
- VIBE events&more promotorji 

&
? Medicinska fakulteta - Obrazi MF:
Predprodaja v avli MF (24.2 & 25.2)
+
⚽️ Fakulteta za šport - Sem Dif:
Preprodaja v avli FŠ (24.2 & 25.2)

Cena vstopnice pri promotorjih in v predprodaji:
10.95€ 
Cena na prodajnih mestih Moje karte in na dan dogodka:
11.95€

Vstop dovoljen le 18+ 

! MESTA SO OMEJENA !?",2020-02-25 21:30:00,655,107246437510750
"PURE Oldies Goldies ★ Valentine's Day | Cvetličarna, 14. Februar","PURE Oldies Goldies ★ Valentine's Day
Petek, 14. Februar 2020
-----------------------
directed by: DJ SHIFT
Special guests: Paolo Barbato & Alex Donati
warm up: Devious
age limit: 20+
info & mize --> pure@tantum.si
--------------------
Vstopnina: 10€ (predprodaja na vseh mestih Eventim in Petrol od 20.1. ali na dan dogodka na blagajni kluba od 23h dalje)

Vstop z vstopnico iz predprodaje omogoča vstop mimo vrste!
Število vstopnic je omejeno",2020-02-14 23:00:00,802,43956324012
Proslava ob dnevu zmage in 75. obletnici osvoboditve,"Vabimo vas k ogledu spletne Proslava ob dnevu zmage in 75. obletnici osvoboditve, ki bo potekala preko našega Facebook profila 

?v petek, 8. maja 2020 

?ob 20. uri!

Slavnostni govornik bo predsednik Zveza združenj borcev za vrednote NOB Slovenije, tovariš Marijan Križman.

Program slovesnosti bo oblikovan iz prvič predstavljenih arhivskih posnetkov ob udeležbi slovenskih partizanov na 70. obletnici izkrcanja zaveznikov v Normandiji! 

Vljudno vabljeni k ogledu❗

#75LetZmage

✊#Zmaga #Svoboda #Slovenija  ??",2020-05-08 20:00:00,1002,148241421989108
Off Road dirka 4x4 Lijak 2020,"4x4 Lijak Vas vljudno vabi na dirko  za državno in odprto prvenstvo v offroadu, ki se bo odvijala 16. in 17. Maja 2020 v glinokopu Vogrsko.
Tekmovalo se bo v disciplini SPRETNOSTNA in HARD preizkusnja.
Vljudno vabljeni vsi tekmovalci ter navijači!
Več informaciji  kmalu.

Nonostante le recenti problematiche che colpiscono gli amici oltre-confine, il 4x4 Lijak conferma, al momento, il suo appuntamento annuale del Campionato Nazionale di Fuoristrada invitando tutti gli appassionati a partecipare al Campionato Nazionale di fuoristrada che si svolgerà nel fine settimana del 16 e 17 Maggio 2020 presso la cava di Vogrsko (SLO), a pochi minuti dal confine tra Gorizia e Nova Gorica.
La gara è suddivisa in categorie con varie prove speciali e circuito di fuoristrada estremo.
Vi terremo aggiornati con maggiori informazioni sul programma di entrambe le giornate.
4x4 LIJAK

Despite the recent problems affecting friends on the other side of the border, the 4x4 Lijak confirms, at the moment, its annual appointment of the National Off-Road Championship by inviting all fans to participate in the National Off-road Championship which will take place on the weekend of 16 and 17 May 2020 at the Vogrsko quarry (SLO), a few minutes from the border between Gorizia and Nova Gorica.
The race is divided into categories with various special stages and an extreme off-road circuit.
We will keep you updated with more information on the program of both days.
4x4 LIJAK",2020-05-16 07:00:00,748,3090524940982390
Jurčičev pohod 7.3.2020,"Dne 7.3 gremo na Jurčičev pohod, pa bi se dobili kar v Višnji gori  ob 7:30 na štartu pri cerkvi zgoraj.  z Ljubljane pa odidemo točno ob 7:00 lahko se dogovorimo da gremo z manj avti, ker parkinga ne bo ravno na pretek. Prijave na pvt tu do 3.3. 2020 ali pa 040628080 da se pošlihtamo zaradi prevoza. 
https://prijetnodomace.si/jurcicev-pohod/
",2020-03-07 07:00:00,1379,115058735173181
"Večer s Sanelo Banović, dr. med","26. februarja ob 18. uri prisrčno vabljeni, da se nam pridružite na ? brezplačnen predavanju, ki bo v avli Doma II. slovenskega tabora Žalec.  
 
 Naša gostja bo ? SANELA BANOVIĆ, dr. med. ?
 
 ❣️ Spomnila nas bo, da strupene besede zastrupljajo odnose.
 ❣️ Spomnila nas bo na moč objemov.
 ❣️ Spomnila nas bo, da smo prepogosto preskromni z dajanjem komplimentov, včasih pa jih tudi ne znamo sprejeti.
 ❣️ Spomnila nas bo, da živimo življenje zdaj in tu …
 
Prisrčno vabljeni.
",2020-02-26 18:00:00,1259,444784815579359
Litijski karneval 22.2.2020 - ČUKI + Challe Salle,"? Na Litijski karneval letos pridejo ČUKI!
LITIJSKI KARNEVAL z več kot 170 letno tradicijo.

?  SOBOTNI PROGRAM (22. februar):

? ŽIV ŽAV s Super krili: 10:00 / Dvorana Litija - info MC Litija 

? LITIJSKI KARNEVAL: 15:00 / mesto Litija - info Turistično Društvo Litija
""Točno okoli"" 16.30 zaključna prireditev karnevalske povorke - Alex Volasko / Dvorana Litija

? *ČUKI + Challe Salle + DJ Berny White: 20:00 / Dvorana Litija - info Wake Up Events

¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
OSTALE PRIREDITVE 
?  Pustni razstavi:
★ »Iz Litije v nebo«: 18:00 / Mestni muzej Litija - 30.1.
★ »Mi Litijani smo veseljaki« 12:00 / Občina Litija - 5. februar

?  DEBELI ČETRTEK (20. februar) 
★ Tekmovanje za naj pustni krof: 10:00 / Valvazorjev trg/ TIC Litija
★ Prevzem pustne oblasti - Mama Manka, Dani Gregorc - Elvis show : 18:00 / Valvazorjev trg

?  PUSTNI TOREK (25. februar)
★ Pravljični pust v litijski knjižnici: 9:00 
★ Otroški pustni karneval: 10:00 / Dvorana Litija

?  PEPELNIČNA SREDA (26. februar)
★ Pečene postrvi: 9:00 - 18:00 / Ribiški dom
★ Pokop Pusta: 13:00 / ŠMELC Litija (parkirišče) 
¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
? Tematika karnevala 2020: 
✈ LITIJA AIRWAYS

★ Prijava skupin na karneval: turisticnod.litija@gmail.com ali na 040 847 213 ?(Mateja Šteferl).

¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
? Vse prireditve so brezplačne. 
*Vstop na prireditev s ČUKI po polnoči možen samo za 18+ ali v spremstvu staršev oz. zakonitih skrbnikov. 
Vstop na druge prireditve je primeren za vse starostne skupine.

¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯¯
? Več informacij na: 
★ www.litija.si 
★ FB: Litijski karneval
★ Tic Litija: info@visitlitija.si, 070 700 484 ?
  
? Organizator Občina Litija v sodelovanju z ZKMŠ Litija, Wake Up Events, Turistično Društvo Litija in Turistična Zveza Slovenije",2020-02-22 10:00:00,795,1410484415869371
"Festival Malvazija, žlahtni okus Mediterana 2020","22. festival Malvazija, žlahtni okus Mediterana, 1. in 2. marec
www.festivalmalvazija.si
✅ Več kot 170 malvazij 
✅ Več kot 70 vinarjev treh držav (Slo, Hrv, Ita)
✅ Kulinarične in vinske delavnice 
✅ Sončni Portorož, Hotel Slovenija - Lifeclass

Podroben seznam vinarjev na www.festivalmalvazija.si

Društvo vinogradnikov slovenske Istre vabi na 22. festival Malvazija, žlahtni okus Mediterana. Z več kot 170 malvazijami se boste lahko družili v nedeljo in ponedeljek, 1. in 2. marca, v kongresnem centru portoroškega Hotela Slovenija.
Vstopnina: 15 evrov (prejmete degustacijski kozarec)
Več info na FB strani Društva vinogradnikov slovenske Istre, lahko nam pišete tudi v privat sporočilo.

L'Associazione dei viticoltori dell'Istria slovena vi invita al 22o Festival Malvasia, gusto raffinato del Mediterraneo. Siete gentilmente invitati a trascorre del tempo in compania delle piu di 170 varietà di malvasia, domenica 1. e lunedì 2. marzo. 
Entrata: 15 euro 

KJE/DOVE? 
Kongresni center Portus, Hotel Slovenija, Portorož/Centro congressi Portus, Hotel Slovenija, Portorose

Za obiskovalce Festivala Malvazija 2020 so v Hotelih LifeClass & Spa Portorož na voljo ugodni namestitveni paketi in Spa storitve. Več na: www.lifeclass.net 
Per i visitatori del Festival Malvasia 2020 gli Hotel LifeClass & Spa Portorož offrono pacchetti soggiorno a prezzi convenienti. Maggiori informazioni: www.lifeclass.net. ",2020-03-01 15:00:00,1165,186049424765001
"Balkan Hits | Klinac I @Top Six Club (Petek, 31.1.)","V petek, 31.1. premierno v klub TOP SIX prihaja KLINAC.

Slišali bomo hite kot so:

Pravila
https://www.youtube.com/watch?v=1i5dAyLhA5c

U Sumrak/Svetla
https://www.youtube.com/watch?v=QhCMvGhC-qA

Nemam Mira
https://www.youtube.com/watch?v=pBe6VRph628

Korak Ispred
https://www.youtube.com/watch?v=1zkV8LknLfE

Molitva
https://www.youtube.com/watch?v=w56EjHTJ94E

____________________________________________

VIP paket do 00:30 80€* (ViP miza in 1x Boat)
Vstopnice bo možno kupiti le na vhodu kluba od 23:00 ure dalje.
Vstopnina do 00:00 (5€/VIP 10€)

",2020-01-31 23:00:00,787,331835760245003
"Primorska fešta/ 20.2.2020/ Cirkus, Ljubljana","? 6. PRIMORSKA FEŠTA, 20.2.2020, Cirkus, Ljubljana‼️‼️
 
 Tudi letos študentski klubi Primorske regije pripravljamo FEŠTO in to PRIMORSKO FEŠTO‼️‼️
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 Za feštu bodo letos poskrbeli⬇️
 
 ★ZMELKOOW★
 https://www.youtube.com/watch?v=6PuT6UrAo_Y
 https://www.youtube.com/watch?v=op9xejsDAQA
 
 ★ANA PUPEDAN★
 https://www.youtube.com/watch?v=EaYdtPC88jE
 https://www.youtube.com/watch?v=5XpAs99XzAE

★DJ DAVE★
 
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 PREDPORDAJA VSTOPNIC PREKO SISTEMA MOJE KARTE► od 7.2. dalje:
 ► early bird (prvih 100 vstopnic) = 5€
 ► 1. paket (nasledniih 200 vstopnic)= 7€ 
 ► 2. paket (naslednih 200 vstopnic)= 8€ 
 
 Prodajna mesta sistema Moje karte so: ➡️ https://www.mojekarte.si/si/primorska-festa-zmelkoow-ana-pupedan-dj-janko/vstopnice-1130931.html

S karto iz predprodaje lahko vstopiš v Cirkus ob katerikoli uri!!
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
  Organizatorji Primorske fešte v Ljubljani smo primorski študentski klubi: KGŠ, KAŠ, KIŠ, KTŠ, KŠS, KŠOP, KŠOK, KIŠD, KŠOPP, KŠIB, KZŠ! 
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 
 »ČE BI SE LAHKO ŠE ENKRAT RODIL NAJRAJE PRIMOREC BI BIL IN NA PRIMORSKI FEŠTI ŠPRIC PIL!«? 
 #primorcismonorci #mona #dejšpric
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 Starostna omejitev: 18+
 ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 *Organizator si pridržuje pravico do spremembe programa ali odpovedi dogodka.",2020-02-20 11:00:00,1083,237302949627686
